Time:,2024/12/12 23:33:06
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,9.2078e-004
2.0000e-001,9.3763e-004
3.0000e-001,9.5871e-004
4.0000e-001,9.8682e-004
5.0000e-001,1.0056e-003
6.0000e-001,1.0234e-003
7.0000e-001,1.0371e-003
8.0000e-001,1.0434e-003
9.0000e-001,1.0491e-003
1.0000e+000,1.0623e-003
1.1000e+000,1.0799e-003
1.2000e+000,1.0870e-003
1.3000e+000,1.0852e-003
1.4000e+000,1.0796e-003
1.5000e+000,1.0757e-003
1.6000e+000,1.0736e-003
1.7000e+000,1.0730e-003
1.8000e+000,1.0723e-003
1.9000e+000,1.0700e-003
2.0000e+000,1.0676e-003
2.1000e+000,1.0683e-003
2.2000e+000,1.0847e-003
2.3000e+000,1.1134e-003
2.4000e+000,1.1388e-003
2.5000e+000,1.1553e-003
2.6000e+000,1.1694e-003
2.7000e+000,1.1795e-003
2.8000e+000,1.1835e-003
2.9000e+000,1.1828e-003
3.0000e+000,1.1774e-003
3.1000e+000,1.1789e-003
3.2000e+000,1.1752e-003
3.3000e+000,1.1720e-003
3.4000e+000,1.1651e-003
3.5000e+000,1.1544e-003
3.6000e+000,1.1380e-003
3.7000e+000,1.1204e-003
3.8000e+000,1.1080e-003
3.9000e+000,1.0981e-003
4.0000e+000,1.0892e-003
4.1000e+000,1.0806e-003
4.2000e+000,1.0774e-003
4.3000e+000,1.0928e-003
4.4000e+000,1.1145e-003
4.5000e+000,1.1416e-003
4.6000e+000,1.1676e-003
4.7000e+000,1.1864e-003
4.8000e+000,1.1998e-003
4.9000e+000,1.2022e-003
5.0000e+000,1.1967e-003
5.1000e+000,1.1991e-003
5.2000e+000,1.1922e-003
5.3000e+000,1.1776e-003
5.4000e+000,1.1631e-003
5.5000e+000,1.1508e-003
5.6000e+000,1.1373e-003
5.7000e+000,1.1266e-003
5.8000e+000,1.1179e-003
5.9000e+000,1.1082e-003
6.0000e+000,1.0969e-003
6.1000e+000,1.0898e-003
6.2000e+000,1.0868e-003
6.3000e+000,1.0921e-003
