Time(S),Current(A)
30.0,0.0011848
30.1,0.0012045
30.2,0.001209
30.3,0.0012046
30.4,0.001193
30.5,0.0011753
30.6,0.0011599
30.7,0.0011446
30.8,0.001133
30.9,0.0011246
31.0,0.0011181
31.1,0.0011148
31.2,0.0011132
31.3,0.0011128
31.4,0.0011138
31.5,0.0011164
31.6,0.0011188
31.7,0.0011253
31.8,0.001142
31.9,0.0011667
32.0,0.0011958
32.1,0.0012299
32.2,0.0013977
32.3,0.0014333
32.4,0.0014766
32.5,0.001476
32.6,0.0013024
32.7,0.0012722
32.8,0.0012358
32.9,0.0012029
33.0,0.0011794
33.1,0.0011635
33.2,0.0011545
33.3,0.0011501
33.4,0.0011478
33.5,0.0011461
33.6,0.0011442
33.7,0.0011416
33.8,0.0011382
33.9,0.0011351
34.0,0.0011353
34.1,0.0011401
34.2,0.0011512
34.3,0.0011736
34.4,0.0012006
34.5,0.0012292
34.6,0.001403
34.7,0.0014556
34.8,0.0014938
34.9,0.0015168
35.0,0.0015103
35.1,0.0014984
35.2,0.0014768
35.3,0.0012961
35.4,0.0012562
35.5,0.0012206
35.6,0.0011959
35.7,0.0011785
35.8,0.0011662
35.9,0.0011588
36.0,0.0011531
36.1,0.0011482
36.2,0.0011434
36.3,0.0011377
36.4,0.0011323
36.5,0.0011345
36.6,0.0011476
36.7,0.0011703
36.8,0.0012008
36.9,0.0012352
37.0,0.0013981
37.1,0.00143
37.2,0.0014506
37.3,0.0014732
37.4,0.0014769
37.5,0.0014677
37.6,0.0012868
37.7,0.0012546
37.8,0.0012262
37.9,0.0012045
38.0,0.0011888
38.1,0.0011758
38.2,0.001165
38.3,0.001159
38.4,0.0011558
38.5,0.0011512
38.6,0.0011468
38.7,0.0011429
38.8,0.0011401
38.9,0.0011573
39.0,0.00118
39.1,0.0011998
39.2,0.0012119
39.3,0.0012197
39.4,0.0012273
39.5,0.0012365
39.6,0.001237
39.7,0.0012224
39.8,0.0012127
39.9,0.0012074
40.0,0.0012025
40.1,0.0011961
40.2,0.0011875
40.3,0.0011789
40.4,0.0011698
40.5,0.0011623
40.6,0.0011576
40.7,0.0011544
40.8,0.001152
40.9,0.0011506
41.0,0.0011499
41.1,0.001148
41.2,0.001146
41.3,0.0011551
41.4,0.0011871
41.5,0.001214
41.6,0.0012356
41.7,0.0013846
41.8,0.0014262
41.9,0.0014633
42.0,0.0014691
42.1,0.0014263
42.2,0.0013703
42.3,0.0013309
42.4,0.001292
42.5,0.00126
42.6,0.0012336
42.7,0.0012164
42.8,0.0012047
42.9,0.0011863
43.0,0.00116
43.1,0.0011443
43.2,0.0011314
43.3,0.0011215
43.4,0.0011149
43.5,0.0011165
43.6,0.0011215
43.7,0.0011238
43.8,0.0011387
43.9,0.0011819
44.0,0.0012199
44.1,0.0012538
44.2,0.0014067
44.3,0.001455
44.4,0.0015095
44.5,0.0015178
44.6,0.0014827
44.7,0.0014224
44.8,0.001354
44.9,0.0012967
45.0,0.0012556
45.1,0.0012259
45.2,0.0012088
45.3,0.0012005
45.4,0.0011922
45.5,0.0011862
45.6,0.001184
45.7,0.001184
45.8,0.0011994
45.9,0.0012244
46.0,0.0012473
46.1,0.0012763
46.2,0.0014508
46.3,0.0015207
46.4,0.0015644
46.5,0.0015713
46.6,0.0015508
46.7,0.0013608
46.8,0.0013254
46.9,0.0012922
47.0,0.0012643
47.1,0.001242
47.2,0.0012261
47.3,0.0012149
47.4,0.0012068
47.5,0.0012012
47.6,0.0011973
47.7,0.0011941
47.8,0.0011912
47.9,0.0011882
48.0,0.0011849
48.1,0.0011871
48.2,0.0012115
48.3,0.001239
48.4,0.0012622
48.5,0.0012878
48.6,0.0013355
48.7,0.0013806
48.8,0.0014234
48.9,0.001437
49.0,0.0014309
49.1,0.0014069
49.2,0.0013744
49.3,0.0013325
49.4,0.0012949
49.5,0.0012661
49.6,0.0012447
49.7,0.0012312
49.8,0.0012223
49.9,0.0012155
50.0,0.0012104
50.1,0.0012049
50.2,0.0011991
50.3,0.0011927
50.4,0.0011865
50.5,0.0011811
50.6,0.0011792
50.7,0.00119
50.8,0.0012165
50.9,0.0012482
51.0,0.0012718
51.1,0.0012889
51.2,0.0013232
51.3,0.0014636
51.4,0.0014353
51.5,0.0013945
51.6,0.0013513
51.7,0.0013058
51.8,0.0012727
51.9,0.0012523
52.0,0.0012405
52.1,0.0012337
52.2,0.0012281
52.3,0.0012223
52.4,0.0012174
52.5,0.0012136
52.6,0.0012107
52.7,0.0012086
52.8,0.0012064
52.9,0.0012042
53.0,0.0012035
53.1,0.0012029
53.2,0.0012083
53.3,0.0012362
53.4,0.0012715
53.5,0.001308
53.6,0.001371
53.7,0.0014307
53.8,0.0014673
53.9,0.0014933
54.0,0.0015215
54.1,0.0015236
54.2,0.0015036
54.3,0.0014688
54.4,0.0014399
54.5,0.0013798
54.6,0.0013248
54.7,0.0012894
54.8,0.0012655
54.9,0.0012488
55.0,0.001238
55.1,0.0012315
55.2,0.0012267
55.3,0.0012236
55.4,0.0012213
55.5,0.0012197
55.6,0.0012183
55.7,0.0012159
55.8,0.0012207
55.9,0.0012424
56.0,0.0012683
56.1,0.00129
56.2,0.0013142
56.3,0.0013318
56.4,0.001368
56.5,0.0014051
56.6,0.0014402
56.7,0.0014805
56.8,0.0014792
56.9,0.0014591
57.0,0.0014081
57.1,0.0013492
57.2,0.0013087
57.3,0.0012784
57.4,0.0012555
57.5,0.0012391
57.6,0.0012279
57.7,0.0012201
57.8,0.0012147
57.9,0.0012108
58.0,0.0012071
58.1,0.0012031
58.2,0.0011988
58.3,0.0011953
58.4,0.0011929
58.5,0.0011914
58.6,0.0012038
58.7,0.0012407
58.8,0.0012717
58.9,0.0012949
59.0,0.0013125
59.1,0.0013212
59.2,0.001325
59.3,0.0013236
59.4,0.0013242
59.5,0.0013297
59.6,0.0013319
59.7,0.0013218
59.8,0.0013123
59.9,0.0013071
60.0,0.0012928
60.1,0.0012707
60.2,0.0012514
60.3,0.0012377
60.4,0.0012291
60.5,0.0012234
60.6,0.0012193
60.7,0.0012165
60.8,0.0012149
60.9,0.0012143
