window_id,start_time,end_time,start_index,end_index
0,30.0,34.9,0,50
1,35.0,39.9,50,100
2,40.0,44.9,100,150
3,45.0,49.9,150,200
4,50.0,54.9,200,250
5,55.0,59.9,250,300
6,60.0,64.9,300,350
7,65.0,69.9,350,400
8,70.0,74.9,400,450
9,75.0,79.9,450,500
10,80.0,84.9,500,550
11,85.0,89.9,550,600
12,90.0,94.9,600,650
13,95.0,99.9,650,700
14,100.0,104.9,700,750
15,105.0,109.9,750,800
16,110.0,114.9,800,850
17,115.0,119.9,850,900
18,120.0,124.9,900,950
19,125.0,129.9,950,1000
20,130.0,134.9,1000,1050
21,135.0,139.9,1050,1100
22,140.0,144.9,1100,1150
23,145.0,149.9,1150,1200
