window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.22436816,0
1,35.0,39.9,0.13471216,0
2,40.0,44.9,0.15122351,0
3,45.0,49.9,0.039438564,0
4,50.0,54.9,0.03279741,0
5,55.0,59.9,0.02080434,0
6,60.0,64.9,0.1002669,0
7,65.0,69.9,0.0032009375,0
8,70.0,74.9,0.0030567674,0
9,75.0,79.9,0.002216407,0
10,80.0,84.9,0.002347745,0
11,85.0,89.9,0.003097509,0
12,90.0,94.9,0.008323593,0
13,95.0,99.9,0.09241784,0
14,100.0,104.9,0.18358688,0
15,105.0,109.9,0.21745223,0
16,110.0,114.9,0.033898342,0
17,115.0,119.9,0.19521053,0
18,120.0,124.9,0.4849742,1
19,125.0,129.9,0.5004522,1
20,130.0,134.9,0.36079052,1
21,135.0,139.9,0.52491075,1
22,140.0,144.9,0.15776071,0
23,145.0,149.9,0.53191733,1
