Time(S),Current(A)
70.0,0.0013759
70.1,0.0013745
70.2,0.0013732
70.3,0.0013719
70.4,0.0013707
70.5,0.0013699
70.6,0.0013684
70.7,0.0013668
70.8,0.0013652
70.9,0.0013646
71.0,0.0013678
71.1,0.0013812
71.2,0.0013955
71.3,0.0014035
71.4,0.0014062
71.5,0.0014056
71.6,0.0014032
71.7,0.0014007
71.8,0.0013979
71.9,0.0013957
72.0,0.0013954
72.1,0.0013971
72.2,0.0014045
72.3,0.0014079
72.4,0.0014033
72.5,0.001392
72.6,0.0013816
72.7,0.0013751
72.8,0.0013708
72.9,0.001368
73.0,0.0013644
73.1,0.0013618
73.2,0.0013612
73.3,0.0013629
73.4,0.0013644
73.5,0.0013658
73.6,0.001366
73.7,0.0013681
73.8,0.0013754
73.9,0.0013865
74.0,0.0013874
74.1,0.0013811
74.2,0.001377
74.3,0.001374
74.4,0.0013709
74.5,0.0013678
74.6,0.0013661
74.7,0.0013663
74.8,0.0013692
74.9,0.0013755
