Time(S),Current(A)
130.0,0.0015618
130.1,0.0016274
130.2,0.0016808
130.3,0.001736
130.4,0.0017644
130.5,0.0015557
130.6,0.0015292
130.7,0.0015058
130.8,0.0014886
130.9,0.0014777
131.0,0.0014724
131.1,0.00147
131.2,0.0014697
131.3,0.0014706
131.4,0.0014715
131.5,0.0014756
131.6,0.0014904
131.7,0.001511
131.8,0.001709
131.9,0.0017598
132.0,0.0017821
132.1,0.0017913
132.2,0.0017953
132.3,0.0018025
132.4,0.001814
132.5,0.0018256
132.6,0.0018123
132.7,0.0015586
132.8,0.0015303
132.9,0.0015064
133.0,0.0014885
133.1,0.0014807
133.2,0.0014783
133.3,0.0014765
133.4,0.0014755
133.5,0.0014757
133.6,0.0014768
133.7,0.0014779
133.8,0.0014777
133.9,0.0014822
134.0,0.0015003
134.1,0.0016785
134.2,0.0017593
134.3,0.00181
134.4,0.0018346
134.5,0.0018395
134.6,0.001839
134.7,0.00184
134.8,0.0018482
134.9,0.0018583
