Time(S),Current(A)
30.0,0.0079083
30.1,0.0079235
30.2,0.0079305
30.3,0.0079237
30.4,0.0078835
30.5,0.0078085
30.6,0.0077337
30.7,0.0076581
30.8,0.0075859
30.9,0.0075261
31.0,0.0074789
31.1,0.0074455
31.2,0.0074175
31.3,0.0073993
31.4,0.0073893
31.5,0.0073851
31.6,0.0073841
31.7,0.0073875
31.8,0.0074011
31.9,0.0074208
32.0,0.0074424
32.1,0.0074712
32.2,0.0075166
32.3,0.0075709
32.4,0.0076368
32.5,0.0077117
32.6,0.0077883
32.7,0.0078541
32.8,0.0078981
32.9,0.0079236
33.0,0.0079367
33.1,0.0079416
33.2,0.0079419
33.3,0.0079374
33.4,0.0079184
33.5,0.0078777
33.6,0.0078114
33.7,0.0077331
33.8,0.007651
33.9,0.007568
34.0,0.0074977
34.1,0.0074357
34.2,0.0073845
34.3,0.0073414
34.4,0.0073136
34.5,0.0072992
34.6,0.0072946
34.7,0.0073061
34.8,0.0073262
34.9,0.0073515
35.0,0.0073868
35.1,0.0074414
35.2,0.0075125
35.3,0.0075973
35.4,0.0076845
35.5,0.0077568
35.6,0.0078062
35.7,0.0078353
35.8,0.0078521
35.9,0.0078605
36.0,0.0078634
36.1,0.0078633
36.2,0.007862
36.3,0.0078604
36.4,0.0078586
36.5,0.0078565
36.6,0.0078545
36.7,0.0078527
36.8,0.0078515
36.9,0.0078504
37.0,0.007849
37.1,0.0078476
37.2,0.007846
37.3,0.0078443
37.4,0.0078424
37.5,0.0078406
37.6,0.0078387
37.7,0.0078369
37.8,0.0078353
37.9,0.0078338
38.0,0.0078324
38.1,0.007831
38.2,0.0078295
38.3,0.0078281
38.4,0.0078267
38.5,0.0078254
38.6,0.0078243
38.7,0.0078232
38.8,0.0078221
38.9,0.007821
39.0,0.0078197
39.1,0.0078171
39.2,0.0078066
39.3,0.0077735
39.4,0.0077134
39.5,0.0076362
39.6,0.0075523
39.7,0.0074774
39.8,0.0074164
39.9,0.0073693
40.0,0.0073349
40.1,0.0073076
40.2,0.0072856
40.3,0.0072724
40.4,0.007265
40.5,0.0072606
40.6,0.0072598
40.7,0.0072635
40.8,0.0072752
40.9,0.0072949
41.0,0.0073206
41.1,0.0073485
41.2,0.0073812
41.3,0.0074292
41.4,0.0074842
41.5,0.0075358
41.6,0.0075849
41.7,0.0076312
41.8,0.0076743
