window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.4749629,1
1,35.0,39.9,0.7280802,1
2,40.0,44.9,0.24642992,0
3,45.0,49.9,0.08633352,0
4,50.0,54.9,0.026203685,0
5,55.0,59.9,0.0007092376,0
6,60.0,64.9,0.10734724,0
7,65.0,69.9,0.0040643727,0
8,70.0,74.9,0.0029368824,0
9,75.0,79.9,0.0064588524,0
10,80.0,84.9,0.0023289225,0
11,85.0,89.9,0.0041632783,0
12,90.0,94.9,0.0027862256,0
13,95.0,99.9,0.0020847,0
14,100.0,104.9,0.00819115,0
15,105.0,109.9,0.0035610804,0
16,110.0,114.9,0.017301705,0
17,115.0,119.9,0.024853816,0
18,120.0,124.9,0.02041369,0
19,125.0,129.9,0.017683504,0
20,130.0,134.9,0.17112976,0
21,135.0,139.9,0.25868586,1
22,140.0,144.9,0.25604653,1
23,145.0,149.9,0.39049643,1
