Time(S),Current(A)
40.0,0.0073349
40.1,0.0073076
40.2,0.0072856
40.3,0.0072724
40.4,0.007265
40.5,0.0072606
40.6,0.0072598
40.7,0.0072635
40.8,0.0072752
40.9,0.0072949
41.0,0.0073206
41.1,0.0073485
41.2,0.0073812
41.3,0.0074292
41.4,0.0074842
41.5,0.0075358
41.6,0.0075849
41.7,0.0076312
41.8,0.0076743
41.9,0.0077079
42.0,0.0077301
42.1,0.0077456
42.2,0.0077552
42.3,0.0077611
42.4,0.0077644
42.5,0.0077665
42.6,0.0077678
42.7,0.0077671
42.8,0.0077659
42.9,0.0077643
43.0,0.0077625
43.1,0.0077608
43.2,0.0077588
43.3,0.0077569
43.4,0.0077543
43.5,0.0077501
43.6,0.0077463
43.7,0.007743
43.8,0.0077403
43.9,0.0077379
44.0,0.0077341
44.1,0.007719
44.2,0.0076704
44.3,0.0075969
44.4,0.0075218
44.5,0.0074594
44.6,0.0074125
44.7,0.0073753
44.8,0.0073423
44.9,0.0073151
