Time(S),Current(A)
135.0,0.0069139
135.1,0.0069036
135.2,0.0068833
135.3,0.006822
135.4,0.0068226
135.5,0.0068064
135.6,0.0067747
135.7,0.0067372
135.8,0.0066901
135.9,0.0066416
136.0,0.0066037
136.1,0.0065708
136.2,0.0065462
136.3,0.0065338
136.4,0.0065372
136.5,0.0065428
136.6,0.0065528
136.7,0.0065026
136.8,0.0064777
136.9,0.0065443
137.0,0.0066159
137.1,0.0066797
137.2,0.0067305
137.3,0.0067697
137.4,0.0067946
137.5,0.0068036
137.6,0.0068132
137.7,0.006821
137.8,0.0068269
137.9,0.0068313
138.0,0.0068351
138.1,0.0068344
138.2,0.0068119
138.3,0.0067884
138.4,0.0067508
138.5,0.0067091
138.6,0.0066723
138.7,0.0066357
138.8,0.0065985
138.9,0.0065733
139.0,0.0065598
139.1,0.0065496
139.2,0.0065501
139.3,0.006541
139.4,0.0065896
139.5,0.0066373
139.6,0.0066694
139.7,0.0067116
139.8,0.0067506
139.9,0.0067836
