window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.106836796,0
1,35.0,39.9,0.27665684,0
2,40.0,44.9,0.23155116,0
3,45.0,49.9,0.65064645,1
4,50.0,54.9,0.55805826,0
5,55.0,59.9,0.96802497,1
6,60.0,64.9,0.9466084,1
7,65.0,69.9,0.2087521,0
8,70.0,74.9,0.6371993,1
9,75.0,79.9,0.025334228,0
10,80.0,84.9,0.018819254,0
11,85.0,89.9,0.0398912,0
12,90.0,94.9,0.07594031,0
13,95.0,99.9,0.5432332,0
14,100.0,104.9,0.06647209,0
15,105.0,109.9,0.05549939,0
16,110.0,114.9,0.078602694,0
17,115.0,119.9,0.588286,1
18,120.0,124.9,0.20959294,0
19,125.0,129.9,0.129559,0
20,130.0,134.9,0.2735375,0
21,135.0,139.9,0.012208971,0
22,140.0,144.9,0.0026104283,0
23,145.0,149.9,0.0018562782,0
