Time(S),Current(A)
135.0,0.0057861
135.1,0.0058189
135.2,0.0058406
135.3,0.0058478
135.4,0.0058272
135.5,0.0062428
135.6,0.0054828
135.7,0.0055175
135.8,0.0054781
135.9,0.0054369
136.0,0.0054015
136.1,0.0053676
136.2,0.0053379
136.3,0.0053143
136.4,0.0053361
136.5,0.0054096
136.6,0.0055302
136.7,0.0056499
136.8,0.0056952
136.9,0.0056902
137.0,0.0056711
137.1,0.0056923
137.2,0.005758
137.3,0.0057536
137.4,0.0056811
137.5,0.005578
137.6,0.0054762
137.7,0.0053971
137.8,0.0053419
137.9,0.0053029
138.0,0.0052781
138.1,0.0052592
138.2,0.0053148
138.3,0.0054205
138.4,0.0055378
138.5,0.0056271
138.6,0.005713
138.7,0.0057682
138.8,0.0058051
138.9,0.0058288
139.0,0.0058417
139.1,0.0058263
139.2,0.0057371
139.3,0.0056108
139.4,0.0054859
139.5,0.0053973
139.6,0.005352
139.7,0.0053343
139.8,0.0053219
139.9,0.0053057
