Time(S),Current(A)
90.0,-2.9793e-06
90.1,-2.5205e-06
90.2,-2.581e-06
90.3,-2.8459e-06
90.4,-2.2504e-06
90.5,-2.6577e-06
90.6,-2.5644e-06
90.7,-2.1198e-06
90.8,-3.0256e-06
90.9,-2.0354e-06
91.0,-2.4111e-06
91.1,-2.5723e-06
91.2,-2.2606e-06
91.3,-2.3305e-06
91.4,-2.2811e-06
91.5,-2.2952e-06
91.6,-2.0549e-06
91.7,-2.4224e-06
91.8,-2.7146e-06
91.9,-2.2042e-06
92.0,-2.3032e-06
92.1,-2.4127e-06
92.2,-2.387e-06
92.3,-2.5549e-06
92.4,-2.5911e-06
92.5,-2.9626e-06
92.6,-2.2678e-06
92.7,-2.4428e-06
92.8,-2.4326e-06
92.9,-1.7185e-06
93.0,-2.172e-06
93.1,-2.4468e-06
93.2,-2.2466e-06
93.3,-2.786e-06
93.4,-2.0493e-06
93.5,-3.3031e-06
93.6,-2.5723e-06
93.7,-2.4581e-06
93.8,-2.248e-06
93.9,-2.577e-06
94.0,-2.3054e-06
94.1,-2.6588e-06
94.2,-2.2775e-06
94.3,-2.5106e-06
94.4,-2.7795e-06
94.5,-2.479e-06
94.6,-2.1917e-06
94.7,-2.9569e-06
94.8,-2.6966e-06
94.9,-2.634e-06
