Time:,2024/12/13 0:21:24
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,-3.1818e-006
2.0000e-001,-2.3654e-006
3.0000e-001,-2.9588e-006
4.0000e-001,-2.2701e-006
5.0000e-001,-2.0877e-006
6.0000e-001,-2.4279e-006
7.0000e-001,-2.2470e-006
8.0000e-001,-1.7956e-006
9.0000e-001,-1.7486e-006
1.0000e+000,-2.2976e-006
1.1000e+000,-2.5187e-006
1.2000e+000,-2.7765e-006
1.3000e+000,-1.8639e-006
1.4000e+000,-2.6751e-006
1.5000e+000,-2.5688e-006
1.6000e+000,-2.3709e-006
1.7000e+000,-2.7570e-006
1.8000e+000,-2.4638e-006
1.9000e+000,-2.6352e-006
2.0000e+000,-2.4282e-006
2.1000e+000,-2.3160e-006
2.2000e+000,-2.4669e-006
2.3000e+000,-2.5735e-006
2.4000e+000,-1.8829e-006
2.5000e+000,-2.1000e-006
2.6000e+000,-2.6947e-006
2.7000e+000,-2.3594e-006
2.8000e+000,-2.4031e-006
2.9000e+000,-2.5540e-006
3.0000e+000,-1.7013e-006
3.1000e+000,-2.2958e-006
3.2000e+000,-2.9461e-006
3.3000e+000,-2.5635e-006
3.4000e+000,-2.1249e-006
3.5000e+000,-2.3671e-006
3.6000e+000,-2.2779e-006
3.7000e+000,-2.8541e-006
3.8000e+000,-2.4541e-006
3.9000e+000,-2.3045e-006
4.0000e+000,-2.2974e-006
4.1000e+000,-2.3226e-006
4.2000e+000,-2.1308e-006
4.3000e+000,-2.3062e-006
4.4000e+000,-3.2079e-006
4.5000e+000,-2.2235e-006
4.6000e+000,-2.1996e-006
4.7000e+000,-2.8391e-006
4.8000e+000,-2.1872e-006
4.9000e+000,-2.4428e-006
5.0000e+000,-2.2606e-006
5.1000e+000,-1.7072e-006
5.2000e+000,-2.2206e-006
5.3000e+000,-2.1720e-006
5.4000e+000,-2.1319e-006
5.5000e+000,-3.0825e-006
5.6000e+000,-2.1748e-006
5.7000e+000,-2.5353e-006
5.8000e+000,-2.1317e-006
5.9000e+000,-2.7833e-006
