window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.106327035,0
1,35.0,39.9,0.27891633,0
2,40.0,44.9,0.23104395,0
3,45.0,49.9,0.6509456,1
4,50.0,54.9,0.55805284,0
5,55.0,59.9,0.96571875,1
6,60.0,64.9,0.9511145,1
7,65.0,69.9,0.2077045,0
8,70.0,74.9,0.6336006,1
9,75.0,79.9,0.027786326,0
10,80.0,84.9,0.017143095,0
11,85.0,89.9,0.033833012,0
12,90.0,94.9,0.075800866,0
13,95.0,99.9,0.53944,0
14,100.0,104.9,0.06754797,0
15,105.0,109.9,0.057201073,0
16,110.0,114.9,0.08397421,0
17,115.0,119.9,0.5914196,1
18,120.0,124.9,0.2136055,0
19,125.0,129.9,0.14045887,0
20,130.0,134.9,0.2798144,0
21,135.0,139.9,0.013364524,0
22,140.0,144.9,0.003454167,0
23,145.0,149.9,0.002014204,0
