Time(S),Current(A)
30.0,0.0031405
30.1,0.0031755
30.2,0.0032166
30.3,0.0032605
30.4,0.0032845
30.5,0.0032927
30.6,0.0032888
30.7,0.0032726
30.8,0.0032474
30.9,0.003212
31.0,0.0031583
31.1,0.0030874
31.2,0.0030154
31.3,0.002964
31.4,0.0029378
31.5,0.0029473
31.6,0.0029959
31.7,0.0030575
31.8,0.0031147
31.9,0.0031595
32.0,0.0031963
32.1,0.0032293
32.2,0.0032529
32.3,0.0032659
32.4,0.0032705
32.5,0.0032695
32.6,0.0032602
32.7,0.0032375
32.8,0.0031971
32.9,0.0031292
33.0,0.0030544
33.1,0.002992
33.2,0.0028244
33.3,0.0028107
33.4,0.0020336
33.5,0.0010707
33.6,0.0010565
33.7,0.002491
33.8,0.0028574
33.9,0.0029576
34.0,0.0030254
34.1,0.0030926
34.2,0.0031106
34.3,0.0031154
34.4,0.003145
34.5,0.0031591
34.6,0.0026515
34.7,0.0018732
34.8,0.0014968
34.9,0.0027237
35.0,0.0027452
35.1,0.002772
35.2,0.0027889
35.3,0.0013495
35.4,0.0023688
35.5,0.00088696
35.6,0.0027201
35.7,0.0027616
35.8,0.0028064
35.9,0.0028462
36.0,0.0029326
36.1,0.0029675
36.2,0.003029
36.3,0.003064
36.4,0.0030854
36.5,0.0030989
36.6,0.0031037
36.7,0.0030821
36.8,0.0030275
36.9,0.0029591
37.0,0.0028937
37.1,0.0020331
37.2,0.0025989
37.3,0.002683
37.4,0.0027625
37.5,0.0028328
37.6,0.0028464
37.7,0.0029327
37.8,0.0029966
37.9,0.003041
38.0,0.0030701
38.1,0.0030883
38.2,0.0031004
38.3,0.0031085
38.4,0.0031098
38.5,0.0030986
38.6,0.0030504
38.7,0.0029692
38.8,0.0028939
38.9,0.00077636
39.0,0.0026113
39.1,0.0025797
39.2,0.0026851
39.3,0.00279
39.4,0.0028823
39.5,0.0029551
39.6,0.0030073
39.7,0.0030464
39.8,0.0030732
39.9,0.0030902
40.0,0.0031
40.1,0.003106
40.2,0.0031063
40.3,0.0031076
40.4,0.0031087
40.5,0.0030967
40.6,0.0028213
40.7,0.0028325
40.8,0.002814
