Time(S),Current(A)
140.0,0.002607
140.1,0.0026386
140.2,0.0026928
140.3,0.0027318
140.4,0.0027603
140.5,0.0027806
140.6,0.0027954
140.7,0.0028067
140.8,0.0028154
140.9,0.002822
141.0,0.0028269
141.1,0.0028303
141.2,0.0028321
141.3,0.0028306
141.4,0.0028229
141.5,0.0028006
141.6,0.0027645
141.7,0.0027209
141.8,0.0026787
141.9,0.0026504
142.0,0.0026355
142.1,0.0026344
142.2,0.002642
142.3,0.0026552
142.4,0.002677
142.5,0.002719
142.6,0.0027712
142.7,0.0028116
142.8,0.0028411
142.9,0.0028604
143.0,0.0028735
143.1,0.0028822
143.2,0.0028882
143.3,0.0028906
143.4,0.0028814
143.5,0.0028593
143.6,0.0028195
143.7,0.0027593
143.8,0.0027087
143.9,0.0026778
144.0,0.0026676
144.1,0.0026792
144.2,0.0027113
144.3,0.0027686
144.4,0.0028124
144.5,0.0028464
144.6,0.0028731
144.7,0.0028953
144.8,0.0029103
144.9,0.0029193
