Time(S),Current(A)
100.0,0.00029607
100.1,0.00025682
100.2,0.00022226
100.3,0.00052216
100.4,-0.00025481
100.5,-0.00059204
100.6,-0.00071541
100.7,-0.0010819
100.8,0.0015903
100.9,0.0015453
101.0,0.0014841
101.1,9.0908e-05
101.2,-0.0016396
101.3,-0.0016155
101.4,0.00013568
101.5,0.00034295
101.6,0.00032598
101.7,0.00030983
101.8,0.00027464
101.9,0.00030269
102.0,0.00033756
102.1,0.00026213
102.2,0.00025329
102.3,0.00024577
102.4,0.00023953
102.5,0.00023313
102.6,0.00022768
102.7,0.00022325
102.8,0.000219
102.9,0.00021502
103.0,0.00021156
103.1,0.00020949
103.2,0.00020796
103.3,0.00020751
103.4,0.00020636
103.5,0.00020469
103.6,0.00020211
103.7,0.00019931
103.8,0.00019743
103.9,0.00019583
104.0,0.00019384
104.1,0.00019413
104.2,0.00019593
104.3,0.00017103
104.4,0.00013441
104.5,0.00011827
104.6,9.2803e-05
104.7,0.00012781
104.8,0.00012637
104.9,0.00012781
