Time:,2024/12/13 0:05:27
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,2.8623e-003
2.0000e-001,2.8676e-003
3.0000e-001,2.8752e-003
4.0000e-001,2.8853e-003
5.0000e-001,2.8965e-003
6.0000e-001,2.9065e-003
7.0000e-001,2.9109e-003
8.0000e-001,2.9029e-003
9.0000e-001,2.8717e-003
1.0000e+000,2.8284e-003
1.1000e+000,2.7850e-003
1.2000e+000,2.7506e-003
1.3000e+000,2.7328e-003
1.4000e+000,2.7522e-003
1.5000e+000,2.8091e-003
1.6000e+000,2.8615e-003
1.7000e+000,2.8971e-003
1.8000e+000,2.9217e-003
1.9000e+000,2.9394e-003
2.0000e+000,2.9534e-003
2.1000e+000,2.9653e-003
2.2000e+000,2.9751e-003
2.3000e+000,2.9808e-003
2.4000e+000,2.9749e-003
2.5000e+000,2.9544e-003
2.6000e+000,2.9189e-003
2.7000e+000,2.8747e-003
2.8000e+000,2.8290e-003
2.9000e+000,2.7919e-003
3.0000e+000,2.7672e-003
3.1000e+000,2.7663e-003
3.2000e+000,2.8102e-003
3.3000e+000,2.8711e-003
3.4000e+000,2.9191e-003
3.5000e+000,2.9547e-003
3.6000e+000,2.9800e-003
3.7000e+000,2.9955e-003
3.8000e+000,3.0056e-003
3.9000e+000,3.0125e-003
4.0000e+000,3.0163e-003
4.1000e+000,3.0142e-003
4.2000e+000,3.0023e-003
4.3000e+000,2.9771e-003
4.4000e+000,2.9293e-003
4.5000e+000,2.8708e-003
4.6000e+000,2.8258e-003
4.7000e+000,2.8018e-003
4.8000e+000,2.8137e-003
4.9000e+000,2.8771e-003
5.0000e+000,2.9401e-003
5.1000e+000,2.9842e-003
5.2000e+000,3.0114e-003
5.3000e+000,3.0278e-003
5.4000e+000,3.0379e-003
5.5000e+000,3.0433e-003
5.6000e+000,3.0454e-003
5.7000e+000,3.0377e-003
5.8000e+000,3.0053e-003
5.9000e+000,2.9427e-003
6.0000e+000,2.8827e-003
6.1000e+000,2.8417e-003
6.2000e+000,2.8191e-003
6.3000e+000,2.8275e-003
