Time(S),Current(A)
30.0,0.0027219
30.1,0.0026912
30.2,0.002683
30.3,0.0026778
30.4,0.0026722
30.5,0.0026556
30.6,0.0026248
30.7,0.0026103
30.8,0.002604
30.9,0.0025965
31.0,0.0025881
31.1,0.0025821
31.2,0.0025746
31.3,0.0025477
31.4,0.0025153
31.5,0.0025103
31.6,0.0025201
31.7,0.002522
31.8,0.0025035
31.9,0.002481
32.0,0.0024549
32.1,0.0024508
32.2,0.0024608
32.3,0.0024692
32.4,0.0024726
32.5,0.0024752
32.6,0.0024691
32.7,0.0024843
32.8,0.0025035
32.9,0.0025219
33.0,0.0025389
33.1,0.0025429
33.2,0.0025188
33.3,0.0024912
33.4,0.0024646
33.5,0.002458
33.6,0.0024507
33.7,0.0024495
33.8,0.0024644
33.9,0.0024958
34.0,0.0025453
34.1,0.0025966
34.2,0.0026328
34.3,0.0026536
34.4,0.0026673
34.5,0.002645
34.6,0.0026139
34.7,0.0025808
34.8,0.0025575
34.9,0.0025386
35.0,0.0025292
35.1,0.0025334
35.2,0.0025643
35.3,0.0025945
35.4,0.0026277
35.5,0.0026601
35.6,0.0026901
35.7,0.0027105
35.8,0.0027319
35.9,0.0027363
36.0,0.0027275
36.1,0.0027145
36.2,0.0026962
36.3,0.0026827
36.4,0.0026746
36.5,0.0026826
36.6,0.0026975
36.7,0.0027302
36.8,0.0027674
36.9,0.0027994
37.0,0.002817
37.1,0.0028327
37.2,0.0028386
37.3,0.0028195
37.4,0.0027861
37.5,0.0027581
37.6,0.0027429
37.7,0.002745
37.8,0.0027749
37.9,0.0027944
38.0,0.0028056
38.1,0.0028265
38.2,0.0028503
38.3,0.0028646
38.4,0.0028439
38.5,0.0028068
38.6,0.0027665
38.7,0.0027466
38.8,0.0027391
38.9,0.0027397
39.0,0.0027512
39.1,0.0027587
39.2,0.0027496
39.3,0.0027592
39.4,0.0027688
39.5,0.0027635
39.6,0.0027513
39.7,0.0027283
39.8,0.0027057
39.9,0.0026908
40.0,0.0026845
40.1,0.0026835
40.2,0.0026884
40.3,0.0027252
40.4,0.0027636
40.5,0.0027949
40.6,0.0028204
40.7,0.00284
40.8,0.0028566
40.9,0.0028542
41.0,0.0028322
41.1,0.0028006
41.2,0.0027734
41.3,0.0027527
41.4,0.0027385
41.5,0.0027298
41.6,0.0027288
41.7,0.0027505
41.8,0.0027478
41.9,0.0027355
42.0,0.0027316
42.1,0.0027315
42.2,0.0027355
42.3,0.0027558
42.4,0.0027733
42.5,0.0027566
42.6,0.0027187
42.7,0.002682
42.8,0.0026614
42.9,0.0026526
