window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.8502348,1
1,35.0,39.9,0.33970585,1
2,40.0,44.9,0.36224234,1
3,45.0,49.9,0.26702166,1
4,50.0,54.9,0.39792672,1
5,55.0,59.9,0.0147655215,0
6,60.0,64.9,0.004629238,0
7,65.0,69.9,0.0026906175,0
8,70.0,74.9,0.0012273138,0
9,75.0,79.9,0.0028193498,0
10,80.0,84.9,0.0040179463,0
11,85.0,89.9,0.0020373242,0
12,90.0,94.9,0.0016579651,0
13,95.0,99.9,0.0034733468,0
14,100.0,104.9,0.0057302862,0
15,105.0,109.9,0.012189225,0
16,110.0,114.9,0.01753948,0
17,115.0,119.9,0.01913091,0
18,120.0,124.9,0.034535255,0
19,125.0,129.9,0.05685308,0
20,130.0,134.9,0.033759546,0
21,135.0,139.9,0.013227858,0
22,140.0,144.9,0.022843797,0
23,145.0,149.9,0.0025633276,0
