Time(S),Current(A)
100.0,0.0039427
100.1,0.0038762
100.2,0.003822
100.3,0.0037862
100.4,0.0037662
100.5,0.0037571
100.6,0.0037564
100.7,0.0037602
100.8,0.0038016
100.9,0.0039251
101.0,0.0040049
101.1,0.0040582
101.2,0.0040932
101.3,0.0041141
101.4,0.0041004
101.5,0.0040355
101.6,0.0039758
101.7,0.0039265
101.8,0.003883
101.9,0.0038554
102.0,0.0038386
102.1,0.0038311
102.2,0.0038316
102.3,0.0038506
102.4,0.0039474
102.5,0.0040453
102.6,0.0040979
102.7,0.0041319
102.8,0.0041493
102.9,0.0041081
103.0,0.0040273
103.1,0.0039569
103.2,0.0039087
103.3,0.0038803
103.4,0.003868
103.5,0.0038723
103.6,0.0038934
103.7,0.0039902
103.8,0.0040877
103.9,0.0041485
104.0,0.0041919
104.1,0.0042226
104.2,0.0042253
104.3,0.0041523
104.4,0.0040691
104.5,0.0039962
104.6,0.0039303
104.7,0.0038803
104.8,0.0038585
104.9,0.0038521
