Time(S),Current(A)
50.0,0.002608
50.1,0.0025926
50.2,0.0025882
50.3,0.00257
50.4,0.002519
50.5,0.0024938
50.6,0.0024953
50.7,0.0025222
50.8,0.0025766
50.9,0.0026167
51.0,0.0026136
51.1,0.002592
51.2,0.0025764
51.3,0.0025711
51.4,0.0025727
51.5,0.0025769
51.6,0.0025887
51.7,0.0026863
51.8,0.002758
51.9,0.0028087
52.0,0.0028381
52.1,0.0028503
52.2,0.0028352
52.3,0.0028146
52.4,0.0027906
52.5,0.0027513
52.6,0.0027155
52.7,0.0026986
52.8,0.002695
52.9,0.0026998
53.0,0.0027628
53.1,0.0027697
53.2,0.0027778
53.3,0.0027942
53.4,0.002817
53.5,0.0028302
53.6,0.002823
53.7,0.002807
53.8,0.0027855
53.9,0.0027687
54.0,0.0027621
54.1,0.0027661
54.2,0.0027829
54.3,0.0031438
54.4,0.0032553
54.5,0.0033229
54.6,0.00336
54.7,0.0033741
54.8,0.0033626
54.9,0.0033133
