Time:,2024/12/13 0:25:49
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),1000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,1.8992e-003
2.0000e-001,1.9116e-003
3.0000e-001,1.9371e-003
4.0000e-001,1.9668e-003
5.0000e-001,1.9837e-003
6.0000e-001,1.9989e-003
7.0000e-001,2.0184e-003
8.0000e-001,2.0273e-003
9.0000e-001,2.0263e-003
1.0000e+000,2.0303e-003
1.1000e+000,2.0376e-003
1.2000e+000,2.0494e-003
1.3000e+000,2.0594e-003
1.4000e+000,2.0674e-003
1.5000e+000,2.0718e-003
1.6000e+000,2.0659e-003
1.7000e+000,2.0691e-003
1.8000e+000,2.0786e-003
1.9000e+000,2.1021e-003
2.0000e+000,2.1132e-003
2.1000e+000,2.1203e-003
2.2000e+000,2.1312e-003
2.3000e+000,2.1434e-003
2.4000e+000,2.1544e-003
2.5000e+000,2.1674e-003
2.6000e+000,2.1772e-003
2.7000e+000,2.1870e-003
2.8000e+000,2.1957e-003
2.9000e+000,2.2001e-003
3.0000e+000,2.1707e-003
3.1000e+000,2.1434e-003
3.2000e+000,2.1308e-003
3.3000e+000,2.1249e-003
3.4000e+000,2.1232e-003
3.5000e+000,2.1334e-003
3.6000e+000,2.1613e-003
3.7000e+000,2.1844e-003
3.8000e+000,2.1958e-003
3.9000e+000,2.2158e-003
4.0000e+000,2.2349e-003
4.1000e+000,2.2534e-003
4.2000e+000,2.2694e-003
4.3000e+000,2.2784e-003
4.4000e+000,2.2772e-003
4.5000e+000,2.2645e-003
4.6000e+000,2.2548e-003
4.7000e+000,2.2511e-003
4.8000e+000,2.2485e-003
4.9000e+000,2.2470e-003
5.0000e+000,2.2465e-003
5.1000e+000,2.2469e-003
5.2000e+000,2.2586e-003
5.3000e+000,2.2651e-003
5.4000e+000,2.2884e-003
5.5000e+000,2.3098e-003
5.6000e+000,2.3267e-003
5.7000e+000,2.3412e-003
5.8000e+000,2.3540e-003
5.9000e+000,2.3643e-003
6.0000e+000,2.3697e-003
6.1000e+000,2.3551e-003
6.2000e+000,2.3494e-003
6.3000e+000,2.3502e-003
