Time(S),Raw_Current(A),Denoised_Current(A)
0.1,-3.1818e-06,-2.3654e-06
0.2,-2.3654e-06,-2.3654e-06
0.3,-2.9588e-06,-2.3654e-06
0.4,-2.2701e-06,-2.3654e-06
0.5,-2.0877e-06,-2.2701e-06
0.6,-2.4279e-06,-2.247e-06
0.7,-2.247e-06,-2.0877e-06
0.8,-1.7956e-06,-2.247e-06
0.9,-1.7486e-06,-2.247e-06
1.0,-2.2976e-06,-2.2976e-06
1.1,-2.5187e-06,-2.2976e-06
1.2,-2.7765e-06,-2.5187e-06
1.3,-1.8639e-06,-2.5688e-06
1.4,-2.6751e-06,-2.5688e-06
1.5,-2.5688e-06,-2.5688e-06
1.6,-2.3709e-06,-2.5688e-06
1.7,-2.757e-06,-2.5688e-06
1.8,-2.4638e-06,-2.4638e-06
1.9,-2.6352e-06,-2.4638e-06
2.0,-2.4282e-06,-2.4638e-06
2.1,-2.316e-06,-2.4669e-06
2.2,-2.4669e-06,-2.4282e-06
2.3,-2.5735e-06,-2.316e-06
2.4,-1.8829e-06,-2.4669e-06
2.5,-2.1e-06,-2.3594e-06
2.6,-2.6947e-06,-2.3594e-06
2.7,-2.3594e-06,-2.4031e-06
2.8,-2.4031e-06,-2.4031e-06
2.9,-2.554e-06,-2.3594e-06
3.0,-1.7013e-06,-2.4031e-06
3.1,-2.2958e-06,-2.554e-06
3.2,-2.9461e-06,-2.2958e-06
3.3,-2.5635e-06,-2.3671e-06
3.4,-2.1249e-06,-2.3671e-06
3.5,-2.3671e-06,-2.3671e-06
3.6,-2.2779e-06,-2.3671e-06
3.7,-2.8541e-06,-2.3671e-06
3.8,-2.4541e-06,-2.3045e-06
3.9,-2.3045e-06,-2.3226e-06
4.0,-2.2974e-06,-2.3045e-06
4.1,-2.3226e-06,-2.3045e-06
4.2,-2.1308e-06,-2.3062e-06
4.3,-2.3062e-06,-2.3062e-06
4.4,-3.2079e-06,-2.2235e-06
4.5,-2.2235e-06,-2.3062e-06
4.6,-2.1996e-06,-2.2235e-06
4.7,-2.8391e-06,-2.2235e-06
4.8,-2.1872e-06,-2.2606e-06
4.9,-2.4428e-06,-2.2606e-06
5.0,-2.2606e-06,-2.2206e-06
5.1,-1.7072e-06,-2.2206e-06
5.2,-2.2206e-06,-2.172e-06
5.3,-2.172e-06,-2.172e-06
5.4,-2.1319e-06,-2.1748e-06
5.5,-3.0825e-06,-2.1748e-06
5.6,-2.1748e-06,-2.1748e-06
5.7,-2.5353e-06,-2.5353e-06
5.8,-2.1317e-06,-2.1748e-06
5.9,-2.7833e-06,-2.5353e-06
6.0,-2.029e-06,-2.3911e-06
6.1,-2.8478e-06,-2.3911e-06
6.2,-2.3911e-06,-2.3222e-06
6.3,-1.5298e-06,-2.3222e-06
6.4,-2.3222e-06,-2.0857e-06
6.5,-2.0857e-06,-2.0857e-06
6.6,-1.9185e-06,-2.0857e-06
6.7,-2.1462e-06,-2.0857e-06
6.8,-1.5224e-06,-2.1462e-06
6.9,-2.2445e-06,-2.2154e-06
7.0,-2.4612e-06,-2.2445e-06
7.1,-2.2154e-06,-2.3428e-06
7.2,-2.3428e-06,-2.3428e-06
7.3,-2.3589e-06,-2.2154e-06
7.4,-1.9729e-06,-2.3428e-06
7.5,-2.1414e-06,-2.2543e-06
7.6,-2.8788e-06,-2.1414e-06
7.7,-2.2543e-06,-2.1818e-06
7.8,-2.0996e-06,-2.2455e-06
7.9,-2.1818e-06,-2.2455e-06
8.0,-2.2455e-06,-2.2455e-06
8.1,-2.3208e-06,-2.3208e-06
8.2,-2.4562e-06,-2.3208e-06
8.3,-3.1031e-06,-2.3208e-06
8.4,-2.2938e-06,-2.3097e-06
8.5,-2.3039e-06,-2.3039e-06
8.6,-2.3097e-06,-2.3039e-06
8.7,-2.2768e-06,-2.3039e-06
8.8,-2.3924e-06,-2.2768e-06
8.9,-2.1034e-06,-2.2768e-06
9.0,-2.2557e-06,-2.3924e-06
9.1,-2.5759e-06,-2.2557e-06
9.2,-2.5692e-06,-2.2557e-06
9.3,-1.9898e-06,-2.1247e-06
9.4,-2.1182e-06,-2.1247e-06
9.5,-2.1247e-06,-2.1247e-06
9.6,-2.6057e-06,-2.4297e-06
9.7,-2.4297e-06,-2.464e-06
9.8,-2.583e-06,-2.464e-06
9.9,-2.464e-06,-2.4297e-06
10.0,-2.1499e-06,-2.2995e-06
10.1,-2.1235e-06,-2.1659e-06
10.2,-2.2995e-06,-2.1499e-06
10.3,-2.1659e-06,-2.1257e-06
10.4,-2.1257e-06,-2.1659e-06
10.5,-2.1012e-06,-2.1257e-06
10.6,-2.2376e-06,-2.1257e-06
10.7,-1.7678e-06,-2.2376e-06
10.8,-2.3934e-06,-2.3153e-06
10.9,-2.3153e-06,-2.3934e-06
11.0,-2.6863e-06,-2.3934e-06
11.1,-2.5498e-06,-2.3153e-06
11.2,-2.1355e-06,-2.3456e-06
11.3,-1.7988e-06,-2.3456e-06
11.4,-2.3456e-06,-2.3456e-06
11.5,-2.452e-06,-2.3456e-06
11.6,-2.3759e-06,-2.3759e-06
11.7,-2.2972e-06,-2.452e-06
11.8,-2.7118e-06,-2.562e-06
11.9,-2.562e-06,-2.562e-06
12.0,-2.8045e-06,-2.562e-06
12.1,-2.3022e-06,-2.3022e-06
12.2,-2.1166e-06,-2.3022e-06
12.3,-1.923e-06,-2.3022e-06
12.4,-2.6936e-06,-2.4533e-06
12.5,-2.4533e-06,-2.4533e-06
12.6,-2.4826e-06,-2.4533e-06
12.7,-1.7898e-06,-2.3971e-06
12.8,-2.1143e-06,-2.3003e-06
12.9,-2.3971e-06,-2.3003e-06
13.0,-2.3003e-06,-2.306e-06
13.1,-2.306e-06,-2.306e-06
13.2,-2.3843e-06,-2.306e-06
13.3,-2.2996e-06,-2.3843e-06
13.4,-2.6599e-06,-2.5102e-06
13.5,-2.5102e-06,-2.5335e-06
13.6,-2.8195e-06,-2.5335e-06
13.7,-2.5335e-06,-2.5102e-06
13.8,-2.3388e-06,-2.5335e-06
13.9,-2.3046e-06,-2.3542e-06
14.0,-3.0043e-06,-2.3388e-06
14.1,-2.3542e-06,-2.3542e-06
14.2,-1.8906e-06,-2.3542e-06
14.3,-2.4237e-06,-2.3542e-06
14.4,-2.3079e-06,-2.3334e-06
14.5,-2.8034e-06,-2.3992e-06
14.6,-2.3334e-06,-2.3992e-06
14.7,-2.3992e-06,-2.4259e-06
14.8,-2.581e-06,-2.4259e-06
14.9,-2.4259e-06,-2.581e-06
15.0,-3.0945e-06,-2.581e-06
15.1,-2.7606e-06,-2.4259e-06
15.2,-1.9468e-06,-2.1341e-06
15.3,-2.1341e-06,-2.1341e-06
15.4,-1.9808e-06,-2.1341e-06
15.5,-2.3988e-06,-2.376e-06
15.6,-2.6683e-06,-2.3988e-06
15.7,-2.376e-06,-2.6683e-06
15.8,-2.8203e-06,-2.6717e-06
15.9,-2.6717e-06,-2.6717e-06
16.0,-3.0251e-06,-2.6717e-06
16.1,-2.1594e-06,-2.4276e-06
16.2,-2.4276e-06,-2.4276e-06
16.3,-2.2307e-06,-2.4276e-06
16.4,-2.4471e-06,-2.4334e-06
16.5,-2.6309e-06,-2.4334e-06
16.6,-2.4334e-06,-2.4471e-06
16.7,-1.7057e-06,-2.6309e-06
16.8,-2.6389e-06,-2.6389e-06
16.9,-2.8527e-06,-2.6389e-06
17.0,-2.8097e-06,-2.7587e-06
17.1,-2.3968e-06,-2.7587e-06
17.2,-2.7587e-06,-2.3968e-06
17.3,-2.3604e-06,-2.3604e-06
17.4,-2.1353e-06,-2.2267e-06
17.5,-1.7334e-06,-2.1593e-06
17.6,-2.2267e-06,-2.1353e-06
17.7,-2.1593e-06,-2.139e-06
17.8,-1.998e-06,-2.1593e-06
17.9,-2.139e-06,-2.1593e-06
18.0,-2.4945e-06,-2.1428e-06
18.1,-2.2686e-06,-2.2686e-06
18.2,-2.1428e-06,-2.4345e-06
18.3,-2.4345e-06,-2.302e-06
18.4,-2.7194e-06,-2.4345e-06
18.5,-2.302e-06,-2.5293e-06
18.6,-2.5293e-06,-2.5293e-06
18.7,-2.5366e-06,-2.5293e-06
18.8,-2.4664e-06,-2.5366e-06
18.9,-2.7593e-06,-2.5366e-06
19.0,-2.6753e-06,-2.469e-06
19.1,-2.1899e-06,-2.469e-06
19.2,-2.469e-06,-2.3202e-06
19.3,-2.3202e-06,-2.1899e-06
19.4,-2.0882e-06,-2.3202e-06
19.5,-2.117e-06,-2.117e-06
19.6,-2.6884e-06,-2.117e-06
19.7,-2.1169e-06,-2.117e-06
19.8,-2.2601e-06,-2.2601e-06
19.9,-2.0039e-06,-2.2601e-06
20.0,-2.9064e-06,-2.3242e-06
20.1,-2.6891e-06,-2.6514e-06
20.2,-2.3242e-06,-2.6514e-06
20.3,-2.6514e-06,-2.4349e-06
20.4,-2.4349e-06,-2.4349e-06
20.5,-2.0375e-06,-2.4349e-06
20.6,-2.7333e-06,-2.4349e-06
20.7,-1.9672e-06,-2.4623e-06
20.8,-2.4623e-06,-2.4623e-06
20.9,-2.8673e-06,-2.4623e-06
21.0,-2.0092e-06,-2.4623e-06
