Time(S),Denoised_Current(A),Pseudo_Label(1=周期)
0.1,-2.3654e-06,0.0
0.2,-2.3654e-06,0.0
0.3,-2.3654e-06,0.0
0.4,-2.3654e-06,0.0
0.5,-2.2701e-06,0.0
0.6,-2.247e-06,0.0
0.7,-2.0877e-06,1.0
0.8,-2.247e-06,1.0
0.9,-2.247e-06,1.0
1.0,-2.2976e-06,1.0
1.1,-2.2976e-06,1.0
1.2,-2.5187e-06,1.0
1.3,-2.5688e-06,1.0
1.4,-2.5688e-06,1.0
1.5,-2.5688e-06,1.0
1.6,-2.5688e-06,1.0
1.7,-2.5688e-06,1.0
1.8,-2.4638e-06,1.0
1.9,-2.4638e-06,1.0
2.0,-2.4638e-06,1.0
2.1,-2.4669e-06,1.0
2.2,-2.4282e-06,1.0
2.3,-2.316e-06,0.0
2.4,-2.4669e-06,0.0
2.5,-2.3594e-06,0.0
2.6,-2.3594e-06,0.0
2.7,-2.4031e-06,0.0
2.8,-2.4031e-06,0.0
2.9,-2.3594e-06,0.0
3.0,-2.4031e-06,0.0
3.1,-2.554e-06,0.0
3.2,-2.2958e-06,1.0
3.3,-2.3671e-06,1.0
3.4,-2.3671e-06,1.0
3.5,-2.3671e-06,1.0
3.6,-2.3671e-06,1.0
3.7,-2.3671e-06,1.0
3.8,-2.3045e-06,0.0
3.9,-2.3226e-06,0.0
4.0,-2.3045e-06,0.0
4.1,-2.3045e-06,0.0
4.2,-2.3062e-06,0.0
4.3,-2.3062e-06,0.0
4.4,-2.2235e-06,0.0
4.5,-2.3062e-06,0.0
4.6,-2.2235e-06,1.0
4.7,-2.2235e-06,1.0
4.8,-2.2606e-06,1.0
4.9,-2.2606e-06,1.0
5.0,-2.2206e-06,1.0
5.1,-2.2206e-06,1.0
5.2,-2.172e-06,1.0
5.3,-2.172e-06,1.0
5.4,-2.1748e-06,1.0
5.5,-2.1748e-06,1.0
5.6,-2.1748e-06,1.0
5.7,-2.5353e-06,1.0
5.8,-2.1748e-06,1.0
5.9,-2.5353e-06,1.0
6.0,-2.3911e-06,1.0
6.1,-2.3911e-06,1.0
6.2,-2.3222e-06,1.0
6.3,-2.3222e-06,1.0
6.4,-2.0857e-06,1.0
6.5,-2.0857e-06,1.0
6.6,-2.0857e-06,1.0
6.7,-2.0857e-06,1.0
6.8,-2.1462e-06,1.0
6.9,-2.2154e-06,1.0
7.0,-2.2445e-06,1.0
7.1,-2.3428e-06,1.0
7.2,-2.3428e-06,1.0
7.3,-2.2154e-06,0.0
7.4,-2.3428e-06,0.0
7.5,-2.2543e-06,0.0
7.6,-2.1414e-06,1.0
7.7,-2.1818e-06,1.0
7.8,-2.2455e-06,1.0
7.9,-2.2455e-06,1.0
8.0,-2.2455e-06,1.0
8.1,-2.3208e-06,1.0
8.2,-2.3208e-06,1.0
8.3,-2.3208e-06,1.0
8.4,-2.3097e-06,1.0
8.5,-2.3039e-06,1.0
8.6,-2.3039e-06,1.0
8.7,-2.3039e-06,1.0
8.8,-2.2768e-06,1.0
8.9,-2.2768e-06,1.0
9.0,-2.3924e-06,1.0
9.1,-2.2557e-06,1.0
9.2,-2.2557e-06,1.0
9.3,-2.1247e-06,1.0
9.4,-2.1247e-06,1.0
9.5,-2.1247e-06,1.0
9.6,-2.4297e-06,1.0
9.7,-2.464e-06,1.0
9.8,-2.464e-06,1.0
9.9,-2.4297e-06,1.0
10.0,-2.2995e-06,1.0
10.1,-2.1659e-06,1.0
10.2,-2.1499e-06,1.0
10.3,-2.1257e-06,0.0
10.4,-2.1659e-06,0.0
10.5,-2.1257e-06,1.0
10.6,-2.1257e-06,1.0
10.7,-2.2376e-06,1.0
10.8,-2.3153e-06,1.0
10.9,-2.3934e-06,1.0
11.0,-2.3934e-06,1.0
11.1,-2.3153e-06,1.0
11.2,-2.3456e-06,1.0
11.3,-2.3456e-06,1.0
11.4,-2.3456e-06,1.0
11.5,-2.3456e-06,1.0
11.6,-2.3759e-06,1.0
11.7,-2.452e-06,1.0
11.8,-2.562e-06,1.0
11.9,-2.562e-06,1.0
12.0,-2.562e-06,1.0
12.1,-2.3022e-06,1.0
12.2,-2.3022e-06,1.0
12.3,-2.3022e-06,1.0
12.4,-2.4533e-06,1.0
12.5,-2.4533e-06,1.0
12.6,-2.4533e-06,1.0
12.7,-2.3971e-06,1.0
12.8,-2.3003e-06,1.0
12.9,-2.3003e-06,1.0
13.0,-2.306e-06,1.0
13.1,-2.306e-06,1.0
13.2,-2.306e-06,1.0
13.3,-2.3843e-06,1.0
13.4,-2.5102e-06,1.0
13.5,-2.5335e-06,1.0
13.6,-2.5335e-06,1.0
13.7,-2.5102e-06,1.0
13.8,-2.5335e-06,1.0
13.9,-2.3542e-06,1.0
14.0,-2.3388e-06,0.0
14.1,-2.3542e-06,0.0
14.2,-2.3542e-06,0.0
14.3,-2.3542e-06,0.0
14.4,-2.3334e-06,1.0
14.5,-2.3992e-06,1.0
14.6,-2.3992e-06,1.0
14.7,-2.4259e-06,1.0
14.8,-2.4259e-06,1.0
14.9,-2.581e-06,1.0
15.0,-2.581e-06,1.0
15.1,-2.4259e-06,1.0
15.2,-2.1341e-06,1.0
15.3,-2.1341e-06,1.0
15.4,-2.1341e-06,1.0
15.5,-2.376e-06,1.0
15.6,-2.3988e-06,1.0
15.7,-2.6683e-06,1.0
15.8,-2.6717e-06,1.0
15.9,-2.6717e-06,1.0
16.0,-2.6717e-06,1.0
16.1,-2.4276e-06,1.0
16.2,-2.4276e-06,1.0
16.3,-2.4276e-06,1.0
16.4,-2.4334e-06,1.0
16.5,-2.4334e-06,1.0
16.6,-2.4471e-06,1.0
16.7,-2.6309e-06,1.0
16.8,-2.6389e-06,1.0
16.9,-2.6389e-06,1.0
17.0,-2.7587e-06,1.0
17.1,-2.7587e-06,1.0
17.2,-2.3968e-06,1.0
17.3,-2.3604e-06,1.0
17.4,-2.2267e-06,1.0
17.5,-2.1593e-06,1.0
17.6,-2.1353e-06,0.0
17.7,-2.139e-06,0.0
17.8,-2.1593e-06,0.0
17.9,-2.1593e-06,0.0
18.0,-2.1428e-06,0.0
18.1,-2.2686e-06,0.0
18.2,-2.4345e-06,0.0
18.3,-2.302e-06,1.0
18.4,-2.4345e-06,1.0
18.5,-2.5293e-06,1.0
18.6,-2.5293e-06,1.0
18.7,-2.5293e-06,1.0
18.8,-2.5366e-06,1.0
18.9,-2.5366e-06,1.0
19.0,-2.469e-06,1.0
19.1,-2.469e-06,1.0
19.2,-2.3202e-06,1.0
19.3,-2.1899e-06,0.0
19.4,-2.3202e-06,0.0
19.5,-2.117e-06,0.0
19.6,-2.117e-06,1.0
19.7,-2.117e-06,1.0
19.8,-2.2601e-06,1.0
19.9,-2.2601e-06,1.0
20.0,-2.3242e-06,1.0
20.1,-2.6514e-06,1.0
20.2,-2.6514e-06,1.0
20.3,-2.4349e-06,1.0
20.4,-2.4349e-06,1.0
20.5,-2.4349e-06,1.0
20.6,-2.4349e-06,1.0
20.7,-2.4623e-06,1.0
20.8,-2.4623e-06,1.0
20.9,-2.4623e-06,1.0
21.0,-2.4623e-06,1.0
21.1,-2.3308e-06,1.0
21.2,-2.2818e-06,1.0
21.3,-2.2818e-06,1.0
21.4,-2.1767e-06,1.0
21.5,-2.1767e-06,1.0
21.6,-2.1767e-06,1.0
21.7,-2.3036e-06,1.0
21.8,-2.3187e-06,1.0
21.9,-2.3187e-06,1.0
22.0,-2.3187e-06,1.0
22.1,-2.1334e-06,1.0
22.2,-2.0708e-06,1.0
22.3,-2.0708e-06,1.0
22.4,-2.1334e-06,1.0
22.5,-2.1334e-06,1.0
22.6,-2.1578e-06,1.0
22.7,-2.3901e-06,1.0
22.8,-2.3901e-06,1.0
22.9,-2.3901e-06,1.0
23.0,-2.4326e-06,1.0
23.1,-2.4345e-06,1.0
23.2,-2.4326e-06,1.0
23.3,-2.4345e-06,1.0
23.4,-2.4345e-06,1.0
23.5,-2.4341e-06,1.0
23.6,-2.1389e-06,0.0
23.7,-2.3047e-06,0.0
23.8,-2.0369e-06,0.0
23.9,-2.0369e-06,0.0
24.0,-2.2449e-06,0.0
24.1,-2.2625e-06,0.0
24.2,-2.255e-06,1.0
24.3,-2.2625e-06,1.0
24.4,-2.2625e-06,1.0
24.5,-2.5453e-06,1.0
24.6,-2.5453e-06,1.0
24.7,-2.5854e-06,1.0
24.8,-2.5854e-06,1.0
24.9,-2.5854e-06,1.0
25.0,-2.5188e-06,1.0
25.1,-2.5188e-06,1.0
25.2,-2.5188e-06,1.0
25.3,-2.5188e-06,1.0
25.4,-2.4597e-06,1.0
25.5,-2.4597e-06,1.0
25.6,-2.4597e-06,1.0
25.7,-2.4597e-06,1.0
25.8,-2.4597e-06,1.0
25.9,-2.5633e-06,1.0
26.0,-2.5273e-06,1.0
26.1,-2.5846e-06,1.0
26.2,-2.5815e-06,1.0
26.3,-2.6004e-06,1.0
26.4,-2.5815e-06,1.0
26.5,-2.5815e-06,1.0
26.6,-2.5815e-06,1.0
26.7,-2.4656e-06,1.0
26.8,-2.4656e-06,1.0
26.9,-2.4656e-06,1.0
27.0,-2.4225e-06,1.0
27.1,-2.276e-06,1.0
27.2,-2.276e-06,1.0
27.3,-2.276e-06,1.0
27.4,-1.9901e-06,0.0
27.5,-2.276e-06,0.0
27.6,-2.4133e-06,0.0
27.7,-2.4385e-06,0.0
27.8,-2.4133e-06,1.0
27.9,-2.4133e-06,1.0
28.0,-2.54e-06,1.0
28.1,-2.6826e-06,1.0
28.2,-2.8469e-06,1.0
28.3,-2.9545e-06,1.0
28.4,-2.9545e-06,1.0
28.5,-2.8469e-06,1.0
28.6,-2.6802e-06,1.0
28.7,-2.5462e-06,1.0
28.8,-2.2244e-06,0.0
28.9,-2.3552e-06,0.0
29.0,-2.3552e-06,0.0
29.1,-2.297e-06,1.0
29.2,-2.3552e-06,1.0
29.3,-2.3552e-06,1.0
29.4,-2.297e-06,1.0
29.5,-2.297e-06,1.0
29.6,-2.1266e-06,0.0
29.7,-2.1266e-06,0.0
29.8,-2.1916e-06,0.0
29.9,-2.3753e-06,0.0
30.0,-2.272e-06,0.0
30.1,-2.4043e-06,0.0
30.2,-2.272e-06,0.0
30.3,-2.272e-06,0.0
30.4,-2.272e-06,0.0
30.5,-2.6496e-06,0.0
30.6,-2.367e-06,1.0
30.7,-2.367e-06,1.0
30.8,-2.6496e-06,1.0
30.9,-2.6136e-06,1.0
31.0,-2.4454e-06,1.0
31.1,-2.4539e-06,1.0
31.2,-2.4539e-06,1.0
31.3,-2.4539e-06,1.0
31.4,-2.4539e-06,1.0
31.5,-2.4854e-06,1.0
31.6,-2.4854e-06,1.0
31.7,-2.4854e-06,1.0
31.8,-2.4328e-06,1.0
31.9,-2.4328e-06,1.0
32.0,-2.4277e-06,1.0
32.1,-2.4328e-06,1.0
32.2,-2.4446e-06,1.0
32.3,-2.4446e-06,1.0
32.4,-2.4875e-06,1.0
32.5,-2.6794e-06,1.0
32.6,-2.4875e-06,1.0
32.7,-2.3754e-06,1.0
32.8,-2.1914e-06,1.0
32.9,-2.1914e-06,1.0
33.0,-2.1914e-06,1.0
33.1,-2.2507e-06,1.0
33.2,-2.2788e-06,1.0
