Time(S),Current(A)
0.1,0.00398
0.2,0.0040238
0.3,0.0040852
0.4,0.0041617
0.5,0.0042462
0.6,0.0043372
0.7,0.0044411
0.8,0.0045653
0.9,0.0046936
1.0,0.0048046
1.1,0.0049028
1.2,0.00499
1.3,0.0050651
1.4,0.0051287
1.5,0.0051841
1.6,0.005235
1.7,0.0052833
1.8,0.0053154
1.9,0.0053252
2.0,0.0053226
2.1,0.0053293
2.2,0.0053496
2.3,0.0053837
2.4,0.0054224
2.5,0.0054563
2.6,0.0054882
2.7,0.0055145
2.8,0.0055199
2.9,0.0054953
3.0,0.0054611
3.1,0.0054297
3.2,0.0054157
3.3,0.005421
3.4,0.005442
3.5,0.0054728
3.6,0.0055043
3.7,0.005531
3.8,0.0055513
3.9,0.0055662
4.0,0.0055793
4.1,0.005593
4.2,0.0056075
4.3,0.0056197
4.4,0.0056295
4.5,0.0056292
4.6,0.0056207
4.7,0.0056157
4.8,0.005629
4.9,0.005652
5.0,0.0056778
5.1,0.0057095
5.2,0.0057397
5.3,0.0057629
5.4,0.0057758
5.5,0.0057796
5.6,0.0057891
5.7,0.0057914
5.8,0.0057749
5.9,0.0057418
6.0,0.0056905
6.1,0.0056389
6.2,0.0056066
6.3,0.0055995
6.4,0.005611
6.5,0.0056308
6.6,0.005652
6.7,0.0056681
6.8,0.0056751
6.9,0.0056714
7.0,0.0056665
7.1,0.0056598
7.2,0.0056505
7.3,0.0056436
7.4,0.0056418
7.5,0.0056427
7.6,0.0056366
7.7,0.0056466
7.8,0.0056911
7.9,0.0057385
8.0,0.005779
8.1,0.0058126
8.2,0.0058396
8.3,0.0058626
8.4,0.0058778
8.5,0.0058767
8.6,0.005853
8.7,0.0058048
8.8,0.0057485
8.9,0.0056949
9.0,0.0056682
9.1,0.0056592
9.2,0.0056619
9.3,0.0056779
9.4,0.0056993
9.5,0.005718
9.6,0.0057328
9.7,0.0057403
9.8,0.0057434
9.9,0.005749
10.0,0.0057559
10.1,0.005762
10.2,0.0057601
10.3,0.0057576
10.4,0.0057792
10.5,0.005814
10.6,0.0058527
10.7,0.0058864
10.8,0.0059162
10.9,0.0059368
11.0,0.005931
11.1,0.0058863
11.2,0.0058178
11.3,0.0057596
11.4,0.0057283
11.5,0.0057229
11.6,0.0057348
11.7,0.0057454
11.8,0.0057291
11.9,0.0056654
12.0,0.005624
12.1,0.005608
12.2,0.0056025
12.3,0.005603
12.4,0.0055933
12.5,0.0055825
12.6,0.0055962
12.7,0.0056371
12.8,0.0056987
12.9,0.0057625
13.0,0.0058299
13.1,0.0058774
13.2,0.0059117
13.3,0.0059316
13.4,0.0059107
13.5,0.0058511
13.6,0.0057794
13.7,0.0057385
13.8,0.0057194
13.9,0.0057074
14.0,0.0056733
14.1,0.0056455
14.2,0.0056364
14.3,0.0056376
14.4,0.0056396
14.5,0.0056406
14.6,0.0056411
14.7,0.0056431
14.8,0.0056381
14.9,0.0056366
15.0,0.0056494
15.1,0.0056846
15.2,0.0057481
15.3,0.0058204
15.4,0.0058745
15.5,0.0059187
15.6,0.005953
15.7,0.0059687
15.8,0.0059411
15.9,0.0058728
16.0,0.0058151
16.1,0.0057804
16.2,0.0057608
16.3,0.0057526
16.4,0.0057346
16.5,0.0057039
16.6,0.0056906
16.7,0.0056832
16.8,0.0056802
16.9,0.0056803
17.0,0.0056806
17.1,0.0056826
17.2,0.0056836
17.3,0.0056811
17.4,0.0056764
17.5,0.0056983
17.6,0.0057717
17.7,0.005855
17.8,0.0059217
17.9,0.0059754
18.0,0.0060232
18.1,0.0060648
18.2,0.0060918
18.3,0.0060925
18.4,0.006045
18.5,0.005969
18.6,0.0058988
18.7,0.0058432
18.8,0.0058019
18.9,0.0057822
19.0,0.0057644
19.1,0.0057314
19.2,0.0057185
19.3,0.0057131
19.4,0.0057122
19.5,0.0057111
19.6,0.0057121
19.7,0.0057104
19.8,0.0057085
19.9,0.0057113
20.0,0.0057002
20.1,0.0057113
20.2,0.0057576
20.3,0.0058188
20.4,0.0058781
20.5,0.0059381
20.6,0.0059953
20.7,0.0060371
20.8,0.0060632
20.9,0.0060633
21.0,0.0060088
21.1,0.0059271
21.2,0.0058569
21.3,0.0058081
21.4,0.005767
21.5,0.0057356
21.6,0.0057235
21.7,0.0057204
21.8,0.0057236
21.9,0.0057262
22.0,0.0057269
22.1,0.0057258
22.2,0.0057177
22.3,0.0057117
22.4,0.0057078
22.5,0.005703
22.6,0.0057457
22.7,0.0058206
22.8,0.0058881
22.9,0.0059453
23.0,0.005984
23.1,0.0059978
23.2,0.0052333
23.3,0.0056806
23.4,0.0057023
23.5,0.0059358
23.6,0.0058715
23.7,0.0058151
23.8,0.0056517
23.9,0.0056097
24.0,0.005655
24.1,0.0056837
24.2,0.0056977
24.3,0.0057043
24.4,0.0057148
24.5,0.0057172
24.6,0.0057693
24.7,0.0058245
24.8,0.0058807
24.9,0.0059401
25.0,0.0059843
25.1,0.0060198
25.2,0.0060404
25.3,0.0060435
25.4,0.0060011
25.5,0.0059385
25.6,0.005872
25.7,0.005815
25.8,0.0057845
25.9,0.0056792
26.0,0.0057058
26.1,0.006006
26.2,0.0037442
26.3,0.0042862
26.4,0.0042547
26.5,0.0058619
26.6,0.0059322
26.7,0.0061051
26.8,0.0056437
26.9,0.0056758
27.0,0.0057365
27.1,0.0058159
27.2,0.0058844
27.3,0.0066817
27.4,0.0064255
27.5,0.006269
27.6,0.0061948
27.7,0.0061447
27.8,0.0060599
27.9,0.0059483
28.0,0.0059567
28.1,0.0051668
28.2,0.0051154
28.3,0.0050756
28.4,0.0035051
28.5,0.006207
28.6,0.0060305
28.7,0.0060857
28.8,0.0059661
28.9,0.0058924
29.0,0.0041361
29.1,0.0050316
29.2,0.0050867
29.3,0.0051963
29.4,0.0063898
29.5,0.005735
29.6,0.0057581
29.7,0.0062423
29.8,0.006188
29.9,0.0061547
30.0,0.0061404
30.1,0.0061258
30.2,0.0061057
30.3,0.0060589
30.4,0.0058408
30.5,0.005837
30.6,0.0053146
30.7,0.0050176
30.8,0.0051108
30.9,0.0051333
31.0,0.0058848
31.1,0.006128
31.2,0.0055137
31.3,0.0057721
31.4,0.0057777
31.5,0.0055849
31.6,0.0061798
31.7,0.0060184
31.8,0.0057214
31.9,0.0062019
32.0,0.0061456
32.1,0.0061386
32.2,0.006158
32.3,0.0061751
32.4,0.0061714
32.5,0.0061482
32.6,0.0061009
32.7,0.00603
32.8,0.0059581
32.9,0.0066255
33.0,0.0058859
33.1,0.0051297
33.2,0.0041498
33.3,0.0060052
33.4,0.0057304
33.5,0.005748
33.6,0.0057607
33.7,0.0057676
33.8,0.0057814
33.9,0.0061618
34.0,0.0059211
34.1,0.0058489
34.2,0.0058946
34.3,0.0059617
34.4,0.0060181
34.5,0.0060655
34.6,0.0060923
34.7,0.006106
34.8,0.006082
34.9,0.0060182
35.0,0.0059605
35.1,0.0038724
35.2,0.004894
35.3,0.0059684
35.4,0.0058045
35.5,0.005731
35.6,0.0057527
35.7,0.0057673
35.8,0.0057757
