数据名单电势阶跃记时电流CASE2024年4月1日  14:42:40
时间: 2024/4/1 14:43:58
线数1	点数12306
0	0.196
0.001968504	0.078
0.003937008	0.105
0.005905512	0.244
0.007874016	0.332
0.00984252	0.26
0.011811024	0.088
0.013779528	-0.01
0.015748031	0.075
0.017716535	0.256
0.019685039	0.36
0.021653543	0.3
0.023622047	0.166
0.025590551	0.126
0.027559055	0.23
0.029527559	0.369
0.031496063	0.4
0.033464567	0.298
0.035433071	0.176
0.037401575	0.146
0.039370079	0.208
0.041338583	0.281
0.043307087	0.31
0.045275591	0.3
0.047244094	0.283
0.049212598	0.276
0.051181102	0.297
0.053149606	0.354
0.05511811	0.431
0.057086614	0.485
0.059055118	0.493
0.061023622	0.491
0.062992126	0.528
0.06496063	0.597
0.066929134	0.622
0.068897638	0.568
0.070866142	0.505
0.072834646	0.53
0.07480315	0.629
0.076771654	0.667
0.078740157	0.557
0.080708661	0.382
0.082677165	0.3
0.084645669	0.338
0.086614173	0.36
0.088582677	0.232
0.090551181	0.025
0.092519685	-0.079
0.094488189	-0.01
0.096456693	0.121
0.098425197	0.142
0.100393701	0.022
0.102362205	-0.093
0.104330709	-0.073
0.106299213	0.06
0.108267717	0.144
0.11023622	0.063
0.112204724	-0.123
0.114173228	-0.228
0.116141732	-0.149
0.118110236	0.031
0.12007874	0.121
0.122047244	0.028
0.124015748	-0.12
0.125984252	-0.115
0.127952756	0.063
0.12992126	0.231
0.131889764	0.219
0.133858268	0.076
0.135826772	-0.007
0.137795276	0.055
0.13976378	0.146
0.141732283	0.128
0.143700787	0.034
0.145669291	0.013
0.147637795	0.133
0.149606299	0.298
0.151574803	0.416
0.153543307	0.538
0.155511811	0.787
0.157480315	1.171
0.159448819	1.563
0.161417323	1.858
0.163385827	2.105
0.165354331	2.402
0.167322835	2.738
0.169291339	2.981
0.171259843	3.038
0.173228346	2.957
0.17519685	2.832
0.177165354	2.666
0.179133858	2.382
0.181102362	1.949
0.183070866	1.452
0.18503937	1.007
0.187007874	0.633
0.188976378	0.273
0.190944882	-0.11
0.192913386	-0.453
0.19488189	-0.649
0.196850394	-0.687
0.198818898	-0.656
0.200787402	-0.621
0.202755906	-0.548
0.204724409	-0.378
0.206692913	-0.16
0.208661417	-0.032
0.210629921	-0.06
0.212598425	-0.15
0.214566929	-0.156
0.216535433	-0.07
0.218503937	-0.03
0.220472441	-0.152
0.222440945	-0.372
0.224409449	-0.516
0.226377953	-0.482
0.228346457	-0.356
0.230314961	-0.282
0.232283465	-0.304
0.234251969	-0.333
0.236220472	-0.287
0.238188976	-0.184
0.24015748	-0.104
0.242125984	-0.102
0.244094488	-0.153
0.246062992	-0.194
0.248031496	-0.202
0.25	-0.191
0.251968504	-0.176
0.253937008	-0.163
0.255905512	-0.168
0.257874016	-0.213
0.25984252	-0.248
0.261811024	-0.19
0.263779528	-0.02
0.265748031	0.133
0.267716535	0.097
0.269685039	-0.119
0.271653543	-0.304
0.273622047	-0.273
0.275590551	-0.091
0.277559055	-0.008
0.279527559	-0.135
0.281496063	-0.298
0.283464567	-0.246
0.285433071	0.028
0.287401575	0.27
0.289370079	0.276
0.291338583	0.125
0.293307087	0.046
0.295275591	0.132
0.297244094	0.254
0.299212598	0.26
0.301181102	0.167
0.303149606	0.105
0.30511811	0.132
0.307086614	0.184
0.309055118	0.21
0.311023622	0.222
0.312992126	0.247
0.31496063	0.269
0.316929134	0.256
0.318897638	0.203
0.320866142	0.148
0.322834646	0.124
0.32480315	0.128
0.326771654	0.151
0.328740157	0.195
0.330708661	0.246
0.332677165	0.243
0.334645669	0.169
0.336614173	0.115
0.338582677	0.192
0.340551181	0.388
0.342519685	0.539
0.344488189	0.517
0.346456693	0.374
0.348425197	0.303
0.350393701	0.405
0.352362205	0.573
0.354330709	0.628
0.356299213	0.538
0.358267717	0.43
0.36023622	0.429
0.362204724	0.522
0.364173228	0.596
0.366141732	0.59
0.368110236	0.536
0.37007874	0.5
0.372047244	0.515
0.374015748	0.587
0.375984252	0.698
0.377952756	0.806
0.37992126	0.857
0.381889764	0.829
0.383858268	0.794
0.385826772	0.841
0.387795276	0.963
0.38976378	1.032
0.391732283	0.961
0.393700787	0.81
0.395669291	0.72
0.397637795	0.757
0.399606299	0.843
0.401574803	0.857
0.403543307	0.782
0.405511811	0.722
0.407480315	0.766
0.409448819	0.894
0.411417323	1.005
0.413385827	1.016
0.415354331	0.943
0.417322835	0.853
0.419291339	0.821
0.421259843	0.876
0.423228346	0.965
0.42519685	1.002
0.427165354	0.935
0.429133858	0.808
0.431102362	0.735
0.433070866	0.789
0.43503937	0.913
0.437007874	0.986
0.438976378	0.938
0.440944882	0.82
0.442913386	0.738
0.44488189	0.728
0.446850394	0.724
0.448818898	0.668
0.450787402	0.582
0.452755906	0.533
0.454724409	0.524
0.456692913	0.482
0.458661417	0.361
0.460629921	0.222
0.462598425	0.173
0.464566929	0.224
0.466535433	0.256
0.468503937	0.166
0.470472441	-0.001
0.472440945	-0.104
0.474409449	-0.08
0.476377953	-0.019
0.478346457	-0.046
0.480314961	-0.151
0.482283465	-0.203
0.484251969	-0.127
0.486220472	-0.023
0.488188976	-0.056
0.49015748	-0.24
0.492125984	-0.416
0.494094488	-0.43
0.496062992	-0.293
0.498031496	-0.179
0.5	-0.22
0.501968504	-0.379
0.503937008	-0.492
0.505905512	-0.449
0.507874016	-0.298
0.50984252	-0.183
0.511811024	-0.193
0.513779528	-0.28
0.515748031	-0.323
0.517716535	-0.266
0.519685039	-0.173
0.521653543	-0.149
0.523622047	-0.209
0.525590551	-0.26
0.527559055	-0.231
0.529527559	-0.16
0.531496063	-0.141
0.533464567	-0.187
0.535433071	-0.223
0.537401575	-0.189
0.539370079	-0.121
0.541338583	-0.108
0.543307087	-0.175
0.545275591	-0.24
0.547244094	-0.219
0.549212598	-0.127
0.551181102	-0.053
0.553149606	-0.051
0.55511811	-0.085
0.557086614	-0.089
0.559055118	-0.046
0.561023622	0.018
0.562992126	0.071
0.56496063	0.12
0.566929134	0.154
0.568897638	0.136
0.570866142	0.066
0.572834646	0.008
0.57480315	0.03
0.576771654	0.123
0.578740157	0.187
0.580708661	0.154
0.582677165	0.07
0.584645669	0.038
0.586614173	0.081
0.588582677	0.119
0.590551181	0.084
0.592519685	0.008
0.594488189	-0.007
0.596456693	0.068
0.598425197	0.147
0.600393701	0.139
0.602362205	0.056
0.604330709	0.007
0.606299213	0.069
0.608267717	0.206
0.61023622	0.289
0.612204724	0.233
0.614173228	0.073
0.616141732	-0.071
0.618110236	-0.098
0.62007874	-0.006
0.622047244	0.116
0.624015748	0.174
0.625984252	0.148
0.627952756	0.084
0.62992126	0.042
0.631889764	0.039
0.633858268	0.054
0.635826772	0.068
0.637795276	0.066
0.63976378	0.047
0.641732283	0.013
0.643700787	-0.012
0.645669291	0.002
0.647637795	0.064
0.649606299	0.143
0.651574803	0.193
0.653543307	0.198
0.655511811	0.188
0.657480315	0.191
0.659448819	0.197
0.661417323	0.16
0.663385827	0.064
0.665354331	-0.042
0.667322835	-0.086
0.669291339	-0.043
0.671259843	0.03
0.673228346	0.059
0.67519685	0.026
0.677165354	0
0.679133858	0.05
0.681102362	0.156
0.683070866	0.221
0.68503937	0.173
0.687007874	0.047
0.688976378	-0.052
0.690944882	-0.059
0.692913386	-0.005
0.69488189	0.045
0.696850394	0.056
0.698818898	0.047
0.700787402	0.058
0.702755906	0.092
0.704724409	0.134
0.706692913	0.145
0.708661417	0.117
0.710629921	0.065
0.712598425	0.014
0.714566929	-0.021
0.716535433	-0.047
0.718503937	-0.072
0.720472441	-0.075
0.722440945	-0.031
0.724409449	0.053
0.726377953	0.125
0.728346457	0.14
0.730314961	0.121
0.732283465	0.132
0.734251969	0.194
0.736220472	0.241
0.738188976	0.198
0.74015748	0.1
0.742125984	0.064
0.744094488	0.16
0.746062992	0.298
0.748031496	0.326
0.75	0.208
0.751968504	0.081
0.753937008	0.095
0.755905512	0.248
0.757874016	0.373
0.75984252	0.343
0.761811024	0.211
0.763779528	0.142
0.765748031	0.223
0.767716535	0.368
0.769685039	0.45
0.771653543	0.44
0.773622047	0.423
0.775590551	0.463
0.777559055	0.516
0.779527559	0.509
0.781496063	0.43
0.783464567	0.372
0.785433071	0.42
0.787401575	0.527
0.789370079	0.574
0.791338583	0.488
0.793307087	0.319
0.795275591	0.175
0.797244094	0.122
0.799212598	0.13
0.801181102	0.132
0.803149606	0.1
0.80511811	0.046
0.807086614	-0.014
0.809055118	-0.065
0.811023622	-0.086
0.812992126	-0.062
0.81496063	-0.008
0.816929134	0.029
0.818897638	0.009
0.820866142	-0.065
0.822834646	-0.146
0.82480315	-0.182
0.826771654	-0.173
0.828740157	-0.157
0.830708661	-0.143
0.832677165	-0.123
0.834645669	-0.087
0.836614173	-0.048
0.838582677	-0.045
0.840551181	-0.071
0.842519685	-0.071
0.844488189	0.007
0.846456693	0.133
0.848425197	0.205
0.850393701	0.131
0.852362205	-0.048
0.854330709	-0.183
0.856299213	-0.164
0.858267717	-0.047
0.86023622	0.036
0.862204724	0.035
0.864173228	0.048
0.866141732	0.217
0.868110236	0.578
0.87007874	1.035
0.872047244	1.484
0.874015748	1.904
0.875984252	2.307
0.877952756	2.682
0.87992126	3.006
0.881889764	3.267
0.883858268	3.457
0.885826772	3.538
0.887795276	3.431
0.88976378	3.115
0.891732283	2.672
0.893700787	2.217
0.895669291	1.793
0.897637795	1.337
0.899606299	0.804
0.901574803	0.251
0.903543307	-0.208
0.905511811	-0.491
0.907480315	-0.609
0.909448819	-0.635
0.911417323	-0.614
0.913385827	-0.559
0.915354331	-0.48
0.917322835	-0.389
0.919291339	-0.302
0.921259843	-0.231
0.923228346	-0.19
0.92519685	-0.202
0.927165354	-0.277
0.929133858	-0.391
0.931102362	-0.488
0.933070866	-0.53
0.93503937	-0.523
0.937007874	-0.5
0.938976378	-0.485
0.940944882	-0.465
0.942913386	-0.427
0.94488189	-0.381
0.946850394	-0.377
0.948818898	-0.434
0.950787402	-0.51
0.952755906	-0.546
0.954724409	-0.529
0.956692913	-0.497
0.958661417	-0.499
0.960629921	-0.511
0.962598425	-0.473
0.964566929	-0.37
0.966535433	-0.259
0.968503937	-0.22
0.970472441	-0.262
0.972440945	-0.313
0.974409449	-0.309
0.976377953	-0.254
0.978346457	-0.2
0.980314961	-0.192
0.982283465	-0.212
0.984251969	-0.225
0.986220472	-0.211
0.988188976	-0.177
0.99015748	-0.141
0.992125984	-0.116
0.994094488	-0.113
0.996062992	-0.127
0.998031496	-0.146
1	-0.133
1.001968504	-0.068
1.003937008	0.011
1.005905512	0.037
1.007874016	-0.021
1.00984252	-0.103
1.011811024	-0.11
1.013779528	-0.011
1.015748031	0.108
1.017716535	0.135
1.019685039	0.077
1.021653543	0.056
1.023622047	0.152
1.025590551	0.287
1.027559055	0.307
1.029527559	0.178
1.031496063	0.037
1.033464567	0.028
1.035433071	0.134
1.037401575	0.213
1.039370079	0.184
1.041338583	0.117
1.043307087	0.129
1.045275591	0.239
1.047244094	0.359
1.049212598	0.411
1.051181102	0.393
1.053149606	0.348
1.05511811	0.306
1.057086614	0.285
1.059055118	0.3
1.061023622	0.34
1.062992126	0.359
1.06496063	0.324
1.066929134	0.276
1.068897638	0.291
1.070866142	0.378
1.072834646	0.453
1.07480315	0.442
1.076771654	0.39
1.078740157	0.387
1.080708661	0.456
1.082677165	0.524
1.084645669	0.543
1.086614173	0.559
1.088582677	0.643
1.090551181	0.758
1.092519685	0.802
1.094488189	0.75
1.096456693	0.695
1.098425197	0.731
1.100393701	0.823
1.102362205	0.842
1.104330709	0.741
1.106299213	0.624
1.108267717	0.611
1.11023622	0.694
1.112204724	0.767
1.114173228	0.771
