Time(S),Current(A)
105.6,0.0051289
105.7,0.0052011
105.8,0.0052784
105.9,0.0052533
106.0,0.0052619
106.1,0.0053054
106.2,0.0053764
106.3,0.0063093
106.4,0.006189
106.5,0.0052607
106.6,0.0052731
106.7,0.0052486
106.8,0.0052251
106.9,0.0052099
107.0,0.0052024
107.1,0.0051931
107.2,0.005179
107.3,0.0051515
107.4,0.0051288
107.5,0.0051306
107.6,0.0051819
107.7,0.0052895
107.8,0.0053543
107.9,0.0053365
108.0,0.0053186
108.1,0.0053295
108.2,0.005407
108.3,0.0066182
108.4,0.0057659
108.5,0.0054691
108.6,0.0054223
108.7,0.0053529
108.8,0.0053008
108.9,0.0052691
109.0,0.005247
109.1,0.0052211
109.2,0.0051874
109.3,0.0051712
