fused_feat_0,fused_feat_1,fused_feat_2,fused_feat_3,fused_feat_4,fused_feat_5,fused_feat_6,fused_feat_7,fused_feat_8,fused_feat_9,fused_feat_10,fused_feat_11,fused_feat_12,fused_feat_13,fused_feat_14,fused_feat_15,fused_feat_16,fused_feat_17,fused_feat_18,fused_feat_19,fused_feat_20,fused_feat_21,fused_feat_22,fused_feat_23,fused_feat_24,fused_feat_25,fused_feat_26,fused_feat_27,fused_feat_28,fused_feat_29,fused_feat_30,fused_feat_31,fused_feat_32,fused_feat_33,fused_feat_34,fused_feat_35,fused_feat_36,fused_feat_37,fused_feat_38,fused_feat_39,fused_feat_40,fused_feat_41,fused_feat_42,fused_feat_43,fused_feat_44,fused_feat_45,fused_feat_46,fused_feat_47,fused_feat_48,fused_feat_49,fused_feat_50,fused_feat_51,fused_feat_52,fused_feat_53,fused_feat_54,fused_feat_55,fused_feat_56,fused_feat_57,fused_feat_58,fused_feat_59,fused_feat_60,fused_feat_61,fused_feat_62,fused_feat_63
0.76005864,-0.38571683,0.39051157,0.30708534,-0.4574196,-0.020952724,-0.38820505,0.12162773,-0.7325318,-0.23509268,-0.27440763,0.16874117,-0.012141451,-0.29474425,0.5837307,0.520622,-0.65778494,-0.5327961,0.7156541,0.015672304,0.57798445,0.0043265373,0.6695279,0.22202629,-0.9222084,-0.16196609,-0.18060619,0.007587284,0.09053382,0.0071657225,0.07010783,0.041512106,0.9285875,0.27781698,-0.19515269,0.42078486,0.118910894,0.5628433,-0.46046066,-0.7102249,-0.1726982,-0.7570908,-0.86960316,-0.68858594,-1.1174815,0.85877866,-0.01495377,-0.28945982,0.3339328,0.6585085,0.084755674,-0.23081365,-0.080143355,-0.72986734,-0.2149466,0.0050850585,-0.2767269,0.59287846,-0.53825057,0.41361946,0.29939333,-0.29432377,-0.5552548,0.15219072
0.4739099,0.49409264,0.2939386,-0.4064223,-0.024703681,-0.24070144,-0.3404167,-0.21379767,0.08863878,-0.110620335,-1.3816872,-0.52832335,0.14352411,0.4351111,0.4927098,-0.36394107,-0.55161536,-0.84478897,0.24852568,0.7575327,0.52648,-0.41731337,-0.16905905,-0.8197573,0.0751632,-0.007668756,0.7065082,-1.3616772,-2.3077037,-0.035531763,-0.19784686,0.24064805,0.42993474,0.57220286,0.32214022,-0.58121204,0.14909725,0.7619505,0.49543118,-0.8905185,-1.7107748,-0.63620764,-1.2815924,-0.47806424,-0.21449691,1.5479409,-0.08062283,-0.11861389,1.0202734,0.5915986,-0.7378823,-0.25076088,-0.16008341,-0.7860286,-0.57617444,-0.47772828,0.9593204,-1.3361253,-0.15159339,0.671963,-0.5540407,0.13330951,-0.31155628,0.19149023
0.32059306,0.17432122,0.8346471,-0.6643276,-0.7943299,0.052539676,0.29737827,0.40851754,-1.1616706,-0.19535801,0.32359433,0.9083724,0.26902536,0.65622145,0.67022145,-0.5764385,-0.12651664,0.0022133812,-0.19104797,0.0010812692,0.730282,-0.0046865866,0.65847886,-0.1779406,-0.701274,-0.84843504,-0.46290588,-0.5103344,0.34877384,-0.71390545,0.9454951,0.73088086,1.5164578,0.35868704,1.4084156,-0.3696649,0.13428228,0.31341103,-0.75179005,0.033898488,-1.5874972,1.0650948,0.21964966,-0.07029217,0.4901823,1.5998771,0.30446216,-0.49319082,0.7045926,0.5205342,-0.5254149,-0.74010307,-0.15441543,0.8400267,0.12843224,0.34588072,-0.20113295,-0.5091458,-0.8919871,1.4005029,0.5443651,0.31231526,0.38169456,0.14649773
-0.10496486,0.84465015,0.19500422,0.36070827,-0.35766715,0.88249946,-0.24465281,0.63344467,0.6924428,-0.6518082,0.12151499,-0.18106663,0.19568443,-0.12735966,-0.108587295,-0.25556767,0.28792372,0.46240988,-0.54334503,0.5158194,0.056463398,0.16184366,0.8511258,-0.20207405,0.54906523,0.13703305,0.13041335,0.24330217,-0.5174201,0.6990545,0.28066236,0.22457546,0.3092155,0.33942342,1.0427424,0.14609943,-0.41295758,-0.01536569,-0.6965967,0.07353035,-0.16497606,0.81694406,-0.31515026,0.14545742,0.41962877,0.5337518,-0.32000294,1.0063719,0.6547095,0.4078972,0.59252053,-0.39939815,-0.7237426,0.017545067,1.1013297,0.5219769,-0.46237874,-0.057918414,0.04940314,0.1718064,0.45110813,0.06733813,0.52639776,-0.67169476
-0.08577392,0.756351,0.2729169,-0.26091027,-0.44032076,0.025533818,-1.0167629,0.76277685,-0.4153855,-1.1337485,0.26171392,-0.21534786,0.70243007,-0.026985899,1.6169947,0.5052757,0.2606194,0.8439257,-0.42540675,0.7589257,0.67207223,-0.03838452,0.08900675,-0.49814257,0.05854073,0.44173667,0.41506657,-0.27785125,0.28136504,-0.24109969,0.73431075,0.95096886,0.705628,1.1083195,0.70098853,-0.3534636,-1.1191392,-0.08849676,-0.11128555,-0.6953076,-1.1525815,0.02704008,-0.9515211,-0.37800807,0.36011666,0.32331863,1.1692246,0.37169832,0.07823418,0.77023333,-0.0029328018,0.15587798,-0.31176907,0.031293016,0.10364541,-0.5315849,-0.05726614,-0.0480728,0.29429272,0.023712903,-0.49206778,0.6285464,-0.5149249,-0.9115148
0.74523413,0.5842196,-0.06921738,0.08802815,-0.7253431,-0.25751862,-0.20981458,-0.87938833,0.38944778,0.36580604,0.25923437,-0.051293574,-0.34783784,-0.5021126,0.60740376,0.49423897,0.05417768,-0.5511508,-0.3200162,0.6379071,0.28818098,0.3451029,0.5356745,0.960494,-1.273358,0.3586751,-0.25682673,-0.34062806,-0.2877704,-0.07575409,0.5768466,0.1432429,-0.04845937,0.28202173,-0.29893953,0.015869237,-1.0125824,-0.4446155,-0.3029728,-0.68769133,-0.90924734,-0.71914285,-0.25968158,-0.84586674,0.20088732,0.5652516,-1.0209141,0.7618495,0.7814386,0.072171904,-0.15409894,0.120690726,0.1465458,-0.10723204,0.050834544,0.23923725,-0.37972808,-0.018828843,0.25398898,-0.04349538,0.20953867,-0.74824476,0.24315655,-0.17780238
0.8760055,-0.23995751,-0.12845087,0.2183859,0.27983734,0.4158591,-0.6152128,0.0890771,0.03265944,-0.44584835,-0.68377876,-0.6263526,-1.1601129,-0.19416873,0.8552233,-0.07089373,0.41539553,-0.27875403,0.18540747,0.1834212,-0.6507719,-0.024870515,0.36059415,-0.17964433,0.20175791,0.42899862,0.07436683,-1.0576489,-0.77100265,0.107662655,-0.11086276,0.2535463,0.074505106,0.32887346,0.7638956,0.8701847,0.14467984,0.2140724,-0.10486093,-0.26532644,0.020352162,0.23511536,0.24836649,-0.24419218,-0.5116527,-0.30227128,0.15542322,0.44247073,0.34859473,0.38640925,-0.016517013,0.24225602,-0.2692651,-0.27403384,0.017386917,-0.40353313,0.31589052,-0.086422004,-0.09060771,0.47438306,-0.0632795,-0.19109073,-0.49827862,-0.24629095
-0.08861885,0.20271312,0.64731956,0.17314291,0.016077055,-0.06924178,-0.26343098,-0.06406747,-0.29721746,-0.08283402,-0.0012884587,0.2787423,-0.58878034,-0.37506872,0.13850996,-0.05555595,-0.18441135,0.011448376,-0.19369745,0.36837244,0.7374983,-0.015697926,-0.05470705,0.16044477,-0.17039758,0.5007926,0.17690942,-0.12258315,-1.2215431,0.5343574,0.3288069,0.855204,0.068299785,0.5976051,0.3454693,0.14392588,0.2650651,0.1730226,0.03775179,-0.19522333,-0.22556153,0.1469698,-0.28676018,-1.004364,-0.18248203,0.3786023,0.24986878,0.23449945,0.7671048,0.09476286,-0.631158,0.1768134,0.2280528,-0.17195183,-0.3173797,-0.24564824,0.2634844,-0.066283524,-0.185045,0.10335436,0.4056213,0.060060456,-0.6342758,0.0498318
0.048572294,0.122638345,0.6426187,-0.6273659,0.0047003925,0.6800204,-0.081157684,-0.25601304,-0.26032886,-0.19777124,-0.47890043,-0.6192156,0.017998144,-0.03891848,0.4602957,0.047243103,-0.02293735,0.6657387,0.5856465,0.25296298,-0.39916676,0.3425367,-0.0018813759,-0.6913527,0.64429027,0.060137637,-0.18490925,0.22981513,0.14417402,0.11785188,1.2787827,0.51191485,-0.39968365,0.12632239,-0.14346087,-0.7060521,-0.26895043,-0.054620743,0.15186813,-0.2567563,-0.41662258,-0.2474749,-0.3264234,-0.6522072,0.0741882,0.5489783,1.0020294,0.46294475,1.0979867,-0.106373645,-0.81721115,0.28855357,-0.7737409,-0.09701056,-0.5636579,-1.3143587,0.51766586,0.02831281,0.105361186,-0.1417208,-0.1280809,0.94863546,-0.6740993,0.23350388
1.0125458,0.14208473,0.31095657,0.08141807,-0.36052004,-0.08560989,-0.4174212,0.15037604,0.06982717,0.16245945,0.13589476,0.13693962,0.34214246,-0.12739936,0.616403,0.6186324,0.10111156,-0.4835318,-0.15134239,0.11871188,1.16284,-0.59186786,0.5204799,0.648168,-0.8693147,-0.42205968,-0.40390942,-0.4175797,-0.64132833,0.015769165,0.9266664,0.14534846,0.37106577,0.14676207,-0.32392454,0.2894606,-1.1398902,-1.502295,-0.5132696,-0.057984166,-0.49286285,-0.1489367,0.9239061,-1.2362678,-0.7714491,0.07083672,-0.44460785,0.71794766,0.7912301,0.6181225,0.37579674,0.08293388,0.54347116,-0.40466222,0.019295149,0.71999866,0.023269497,0.119387075,0.098966785,0.27562854,0.037417196,-0.45941678,-0.24011272,-0.08177113
0.44411704,0.7065787,0.25629443,0.46701512,-0.26367217,-0.09378398,-0.10945321,-0.44359863,-0.09023449,0.08537248,0.31476736,0.10974599,0.10613608,-0.10943478,0.29217884,-0.14029995,0.11650902,0.25116652,0.21183577,0.250117,0.29531935,0.11524978,-0.1655431,0.14842711,-0.49396354,-0.2150037,-0.086905755,-0.35102022,0.03554455,-0.4684607,-0.22645767,0.43212768,0.6422359,0.00020841509,0.1400481,-0.3572031,-0.891409,0.31052878,-0.045881048,0.022351958,-0.42239234,-0.10780625,-0.14837095,-0.75948167,-0.42966047,0.5721608,-0.77970004,-0.28542817,0.54186094,0.27653673,0.36265165,-0.0601333,-0.44258597,-0.051221915,0.08612243,0.15133992,-0.021553956,-0.3286505,-0.46150908,0.6907373,0.2623945,0.021320924,0.20246433,-0.088788666
-0.11091743,0.37102786,0.36573777,0.32661813,-0.2226044,0.19573796,-0.43590826,0.2317557,-0.43952265,-0.2716238,-0.6636868,-0.34468862,-0.49401757,-0.005882643,0.33496004,0.55040896,-0.105962686,-0.20553645,-0.4243263,0.38484773,1.404867,0.12736705,0.18188068,0.069811955,-0.5844555,-0.52017766,0.40446672,-0.46586883,-0.15340573,0.046232652,0.46201363,0.6542611,0.3523731,-0.4758004,-0.6684563,-0.15726674,-0.09999432,0.11180113,-0.29098767,-0.9547855,-0.6631045,-0.44302094,-0.37744457,-0.78459316,0.09958619,0.3020677,-0.55643916,0.22506279,0.13754523,0.034089066,0.2656917,0.532862,-0.09838244,-0.38749057,-0.090401195,-0.8272453,-0.76971585,0.16348653,-0.66642964,-0.52643925,0.078093596,-0.803262,0.38419092,-0.1736308
0.23328152,1.2153301,-0.11855371,0.07615866,-0.46203205,-0.5234945,-0.061857842,-0.045077562,0.017198056,-0.6925346,-0.102439836,-0.16640499,-0.17981803,-0.3455181,-0.041100867,-0.041168578,-0.011134513,0.50953424,-0.037756495,1.0927669,0.3190024,-0.55187106,-0.49926147,-0.30503732,-0.62586427,-1.014941,0.12804022,-0.21773878,-0.045239147,0.07993631,0.57904625,-0.11889228,0.22291315,-0.00708016,-0.23519334,1.0313473,-1.0340633,-0.17610362,-0.35215294,0.088338174,0.012441613,0.14178525,-0.699875,-0.5250233,0.5263934,0.6734664,-0.031359576,0.045067772,0.44408748,0.24494618,-0.122629926,0.28137678,0.037139647,0.2857817,0.75427455,0.5751373,0.02230125,-0.10371244,-0.21112451,0.63915956,-0.30069402,0.42831895,-0.8771826,0.12311633
0.5162145,0.5227711,0.8883977,-0.11483158,-0.20237395,0.46580422,-0.54323894,-0.38479286,0.26025593,-0.3694266,-0.6110019,0.11588443,0.026633166,-0.17162086,0.49857897,-0.04708709,-0.4899349,0.035122268,-0.23599052,0.22414342,0.3431231,0.17274219,0.12914515,-0.3748531,-0.46813565,-0.6099118,0.477478,-0.5611774,-0.10286701,-0.45117292,0.3067191,0.3023747,0.4020012,0.11586898,0.38577664,-0.085523196,-0.5068812,0.37958565,0.4418388,0.7350731,-0.55674213,0.27344358,-0.06285156,-1.3505998,0.040159896,0.5518115,-0.2805412,-0.12758562,-0.11569471,0.43360603,-0.27835864,-0.044441707,-0.40703836,-0.15453085,-0.32167196,0.37605783,-0.5881153,-0.17737803,-0.39491212,0.35761353,-0.12207582,-0.19460368,-0.11472897,0.14390281
0.013164885,0.39166546,0.38779274,0.57588196,-0.30717555,-0.15920243,-0.16029415,-0.15709268,0.051488742,-0.3677315,-0.20638947,-0.42474967,0.068457186,0.64984864,0.13988547,-0.11391056,-0.10537767,-0.17498636,-0.026082568,0.12975287,0.70330685,0.04085067,0.10415298,-0.4027585,0.084886774,-0.87344176,0.09906345,-0.83676696,0.011410046,-0.22523913,0.23775807,-0.020303376,0.3538212,0.013880521,0.5055842,0.09204877,-0.4175915,-0.36995533,-0.32201445,-0.40269485,-0.7413696,0.09878085,-0.1472803,-0.2710866,-0.43159646,0.37022084,0.8073062,-0.17271215,-0.20208162,0.20019618,0.13007498,-0.3137734,0.17806652,-0.020579144,0.2918853,-0.13126543,0.08513037,-0.21108007,-0.09347885,0.18937936,0.21144322,0.41735187,-0.15975192,0.24194932
-0.19825938,0.19121833,0.16519731,0.27859852,-0.12659808,0.65769625,0.22972977,-0.17777455,0.8519144,-0.61122775,0.017318174,0.5847617,0.5418182,-0.1775411,0.58906615,-0.19906715,0.39351866,-0.44509894,0.23142403,0.40597224,0.4414678,0.13363746,1.0990734,0.035692036,0.48741364,-0.21467543,-0.11476165,-0.615096,-0.18742985,-0.6318728,0.29657248,0.65089726,0.17036152,-0.019921131,-0.041296378,-0.89285755,-0.2498508,-0.39898762,-0.1544221,-0.12541807,-0.886244,-0.56393135,0.13158408,-0.85888726,0.18946463,0.79871875,-0.079588346,-0.5104997,0.5992731,1.0000875,0.07133986,0.23460373,-0.21634397,0.4620148,0.20237806,0.77146095,0.40070224,0.1712725,0.3081227,0.48005065,1.0029533,0.54959214,-0.09673095,-0.6961257
1.1024529,0.60945857,0.60593104,0.23720339,-0.25909102,-0.87566817,0.07186402,-0.45745963,0.686304,0.30675167,0.16776328,0.06613814,0.38701117,0.4895137,0.2764166,0.4334547,0.22881791,-0.5838282,0.5185598,0.56333864,0.56592745,-0.43851763,0.2629285,0.5786218,-0.47706944,-0.34266567,0.07770602,-0.09431447,-1.1163152,-0.4657973,0.6661339,0.02395013,0.3701605,0.10637561,0.09323181,0.12584181,-0.5791726,-0.903296,-0.05853256,-0.14554846,-0.63459486,-0.76753885,0.8905157,-0.9874628,0.14016183,-0.503235,-0.8476703,0.57503223,0.15832457,0.6245488,0.93978304,0.4650953,0.3029678,-1.1012554,0.6214035,0.34165764,-0.4077119,-0.018922001,-0.08272397,-0.1582267,-0.46404788,-0.029305369,-0.5407221,0.33554462
0.5193116,0.41343272,1.2222092,0.7048165,-0.77447,0.026560992,-0.6726361,-0.55012804,0.16806167,-0.49753565,0.04293657,-0.4070824,0.18369338,-0.86036164,0.6490787,0.14753681,0.27061322,0.010906391,0.61648715,0.02462541,-0.41699204,0.03633543,1.2400818,0.69376373,0.24314377,0.04853955,-0.19897413,-0.45098162,-0.16431487,-0.08229523,0.79223037,0.37365803,0.2685991,0.27181178,0.5609309,-0.06862325,-0.4377702,-0.20713708,0.026973307,-0.15324336,-0.5587746,-0.309685,-0.5468573,-0.71589935,-0.6716237,0.17967916,-0.33197784,0.36391017,0.76099813,-0.1498107,0.60933286,-0.3599922,0.26148477,-0.7715549,0.22363243,0.13059524,-0.6077456,0.06389567,0.33147454,0.038379334,0.13485545,-0.12346051,0.22572474,0.084569015
-0.26808158,0.1515964,0.42558807,0.14694625,-0.51219773,0.14264607,0.08712465,-0.5199072,-0.53636086,-0.67995447,-0.11736409,0.2685778,0.075675696,-0.009263985,0.6308415,-0.9306224,0.15347463,0.22510219,1.115325,-0.14305702,-0.34616914,-0.1581778,0.27187565,-0.29913592,0.0071225837,0.6745396,-0.03610908,-0.42395815,-0.008207109,0.17401347,-0.16952328,-0.014460333,0.19815546,0.7519994,-0.29482758,-0.66254365,-0.5802706,1.0032067,0.36288792,0.3487513,0.2274738,-0.11400892,-1.137419,-0.5332532,0.14040415,0.220011,-0.51388156,0.43890074,0.96991664,0.2860033,-0.56667846,0.6373105,-1.2517413,-0.76924133,0.41134703,-0.056280024,-0.21255979,0.508867,0.18075395,-0.11404274,-0.52161896,-0.01683937,0.10733779,-0.1331478
0.55640227,1.0390373,1.2029774,-0.3739545,-0.81921566,-0.4488704,0.26220122,-0.6017998,-0.38045493,-1.1110317,-0.80135524,-0.2824231,0.096159294,-0.29165024,0.124839224,0.5391811,-0.66870975,0.06204497,0.72091365,0.7260777,-0.0542908,-0.27220625,-0.061866116,-0.017113864,-0.08800222,-1.3369805,0.483497,0.19004971,-0.54616815,-0.3926071,0.5639707,0.08036618,-0.13777427,-0.18748736,0.10877527,0.35201553,-0.44522804,0.60224617,-0.19405182,0.08034444,-0.5745152,-0.343566,-0.2877441,-0.24527115,-0.76076055,0.36549738,0.08607168,-0.39751875,0.508936,-0.06261947,-0.32333916,-0.84378546,-0.6360036,-0.22493112,-0.15444782,0.7171596,-0.26365563,-0.3960006,-1.0999756,1.0594712,0.7537691,0.09811556,-0.5192576,0.0037669614
0.6059523,-0.39651883,0.7148769,0.16791163,-0.46464148,0.34334838,-0.3718904,-0.87172014,0.23964462,-0.19992475,-0.6343416,0.09961223,-0.14177519,-0.33040422,0.33998644,-0.26900914,-0.013140909,-0.32826072,0.57970536,0.8107078,-0.6801039,-0.3271178,-0.09792419,0.26265943,-0.027172115,0.30222854,0.49922898,-0.009979337,-0.28513443,0.0738049,0.38426283,-0.50007606,0.02609463,0.48375356,-0.37909013,-0.15654242,-0.8860659,0.7711973,0.29548043,0.4239499,-0.45168912,0.2573052,-0.5451136,-0.9570721,0.28574818,0.15679355,0.029431619,0.315453,1.0189583,0.34864748,-0.0936477,-0.38100332,0.2453098,-0.89553916,-0.13398272,0.6616862,-0.50513786,-0.07756665,0.15055501,0.6705115,-0.42005622,-0.05610516,-0.18337037,-0.08843396
0.55570674,0.4266322,0.501628,0.35625663,-0.73744583,0.39345884,-0.801337,0.2689914,0.045109272,-0.15414211,-0.424325,0.16122103,0.112187475,0.10602942,0.15014422,1.621159,0.37761104,-0.60692877,-0.2615322,1.1156107,-0.09700165,0.00884781,0.460791,-0.30347228,-0.0331923,-0.023990698,0.14838153,0.57102793,0.1883606,0.28808695,-0.0020504892,0.12922364,0.0027940199,-0.40921995,0.38444346,-1.028427,-0.9079702,0.4296979,-0.011989862,-0.5149891,-0.98909795,-0.08904931,-0.6018046,-0.2788721,0.24795623,-0.3878027,-0.10774014,0.5221059,0.15461162,0.90596044,0.17824389,0.4041854,-0.5602091,-0.7467252,-0.39164537,0.5002854,-0.5930909,-0.5569042,0.030268006,0.38717988,0.14541864,-0.30508122,-0.16621017,-0.45163012
