cycle_id,cluster_label,cluster_ratio,start_time,end_time
1,1,0.47619047619047616,70.9,73.1
2,0,0.5238095238095238,73.4,75.5
3,1,0.47619047619047616,76.0,77.7
4,1,0.47619047619047616,78.1,80.1
5,1,0.47619047619047616,80.5,82.4
6,0,0.5238095238095238,82.7,84.7
7,0,0.5238095238095238,85.0,86.8
8,0,0.5238095238095238,87.1,89.6
9,0,0.5238095238095238,89.9,92.6
10,1,0.47619047619047616,92.8,94.7
11,0,0.5238095238095238,94.9,97.2
12,0,0.5238095238095238,98.5,100.8
13,0,0.5238095238095238,101.7,103.7
14,0,0.5238095238095238,104.6,107.4
15,1,0.47619047619047616,108.3,110.5
16,1,0.47619047619047616,112.4,113.8
17,1,0.47619047619047616,114.5,117.6
18,1,0.47619047619047616,117.8,120.8
19,1,0.47619047619047616,121.1,124.1
20,0,0.5238095238095238,125.1,126.3
21,0,0.5238095238095238,127.3,128.7
