Time(S),Current(A)
47.3,0.0059076
47.4,0.0059059
47.5,0.0059099
47.6,0.0059047
47.7,0.0059026
47.8,0.0059068
47.9,0.0059044
48.0,0.0059017
48.1,0.0059018
48.2,0.0059076
48.3,0.0059544
48.4,0.0060231
48.5,0.0060967
48.6,0.0038869
48.7,0.0063888
48.8,0.0065709
48.9,0.006698
49.0,0.0067795
49.1,0.0068477
49.2,0.0068785
49.3,0.0068973
49.4,0.0075534
49.5,0.006945
49.6,0.0069201
49.7,0.0069022
49.8,0.0068927
49.9,0.0068871
50.0,0.0068831
50.1,0.0068821
50.2,0.0068817
50.3,0.006881
50.4,0.0068799
50.5,0.0068784
50.6,0.0068793
50.7,0.0068738
50.8,0.0068735
50.9,0.006872
51.0,0.0069236
51.1,0.0068866
51.2,0.0053293
51.3,0.0052127
51.4,0.0050521
51.5,0.0048731
51.6,0.0047021
51.7,0.0045664
51.8,0.0044684
51.9,0.0044124
52.0,0.0043839
52.1,0.0043669
52.2,0.004365
