type,start_time,end_time,duration
normal,73.4,75.5,2.0999999999999943
normal,82.7,84.7,2.0
normal,85.0,86.8,1.7999999999999972
normal,87.1,89.6,2.5
normal,89.9,92.6,2.6999999999999886
normal,94.9,97.2,2.299999999999997
normal,98.5,100.8,2.299999999999997
normal,101.7,103.7,2.0
normal,104.6,107.4,2.8000000000000114
normal,125.1,126.3,1.2000000000000028
normal,127.3,128.7,1.3999999999999915
abnormal,70.9,73.1,2.1999999999999886
abnormal,76.0,77.7,1.7000000000000028
abnormal,78.1,80.1,2.0
abnormal,80.5,82.4,1.9000000000000057
abnormal,92.8,94.7,1.9000000000000057
abnormal,108.3,110.5,2.200000000000003
abnormal,112.4,113.8,1.3999999999999915
abnormal,114.5,117.6,3.0999999999999943
abnormal,117.8,120.8,3.0
abnormal,121.1,124.1,3.0
