Time(S),Current(A)
124.2,0.0052703
124.3,0.0061085
124.4,0.0061472
124.5,0.0054341
124.6,0.0056289
124.7,0.0057355
124.8,0.0057892
124.9,0.0058126
125.0,0.0058201
125.1,0.0064532
125.2,0.0064085
125.3,0.0053555
125.4,0.005456
125.5,0.0054639
125.6,0.0054318
125.7,0.0053969
125.8,0.0053677
125.9,0.0053417
126.0,0.0053145
126.1,0.0052891
126.2,0.0052708
126.3,0.0052647
126.4,0.0060088
126.5,0.0060763
126.6,0.0061616
126.7,0.0055593
126.8,0.0056902
126.9,0.0057584
127.0,0.0057988
127.1,0.0058212
127.2,0.0058317
127.3,0.0066104
127.4,0.0064972
127.5,0.0051154
127.6,0.0056296
127.7,0.0055727
127.8,0.0055053
127.9,0.0054523
128.0,0.0054142
128.1,0.0053818
128.2,0.0053524
128.3,0.0053224
128.4,0.0052929
128.5,0.0052764
128.6,0.005926
128.7,0.0051268
128.8,0.0054754
128.9,0.0056436
129.0,0.0057319
129.1,0.0057814
129.2,0.0058082
129.3,0.005824
129.4,0.0058272
129.5,0.005441
129.6,0.0064356
129.7,0.0053366
129.8,0.0054074
129.9,0.0054087
130.0,0.0053908
130.1,0.0053685
130.2,0.0053479
130.3,0.0053263
130.4,0.0053022
130.5,0.0052991
130.6,0.0065562
130.7,0.0053211
130.8,0.0055378
130.9,0.0056678
131.0,0.0057426
131.1,0.0057853
131.2,0.0058071
131.3,0.0058184
131.4,0.0041251
131.5,0.0065124
131.6,0.0054583
131.7,0.0055013
131.8,0.00548
131.9,0.0054424
132.0,0.0054047
132.1,0.0053742
132.2,0.0053506
132.3,0.0053282
132.4,0.0053044
132.5,0.0052871
132.6,0.005291
132.7,0.0060073
132.8,0.0072951
132.9,0.0056561
133.0,0.0057572
133.1,0.0058132
133.2,0.0058395
133.3,0.0058302
133.4,0.0058541
133.5,0.0058654
133.6,0.00643
133.7,0.0053926
133.8,0.0054585
133.9,0.0054418
134.0,0.0054082
134.1,0.0053688
134.2,0.0053352
134.3,0.0053104
134.4,0.0052981
