Time(S),Current(A)
55.8,0.0066423
55.9,0.0066142
56.0,0.006586
56.1,0.0049741
56.2,0.0054534
56.3,0.0052944
56.4,0.0051522
56.5,0.0050204
56.6,0.0049046
56.7,0.0048127
56.8,0.0047478
56.9,0.0047059
57.0,0.0046786
57.1,0.0046627
57.2,0.0046609
57.3,0.0046669
57.4,0.0046923
57.5,0.004749
57.6,0.0048388
57.7,0.0049286
57.8,0.0044535
57.9,0.0090232
58.0,0.0055571
58.1,0.0065083
58.2,0.0065014
58.3,0.0065039
58.4,0.0065272
58.5,0.0065358
58.6,0.0065394
58.7,0.0056002
58.8,0.0054965
58.9,0.0052559
59.0,0.004592
59.1,0.004429
59.2,0.0042486
59.3,0.0041436
59.4,0.0041344
59.5,0.004087
59.6,0.0041554
59.7,0.0042246
59.8,0.0042675
59.9,0.0043166
60.0,0.0043779
60.1,0.0048645
60.2,0.0046914
60.3,0.0041019
60.4,0.0039853
60.5,0.0038816
60.6,0.0038198
60.7,0.003824
60.8,0.0038657
60.9,0.003939
61.0,0.004004
61.1,0.0040122
61.2,0.0039381
61.3,0.0038149
61.4,0.0037104
61.5,0.0036486
61.6,0.0036275
