Time(S),Current(A)
166.4,0.0053044
166.5,0.0053847
166.6,0.0055092
166.7,0.0056463
166.8,0.0057629
166.9,0.0058508
167.0,0.0059132
167.1,0.0059529
167.2,0.005976
167.3,0.0059892
167.4,0.0059971
167.5,0.0059991
167.6,0.0059581
167.7,0.0058595
167.8,0.0057508
167.9,0.0056336
168.0,0.0055321
168.1,0.0054585
168.2,0.0054121
168.3,0.0053943
168.4,0.0053907
168.5,0.0053868
168.6,0.0053831
168.7,0.0053764
168.8,0.0053522
168.9,0.0053158
169.0,0.0053112
169.1,0.0053688
169.2,0.0054762
169.3,0.0055925
169.4,0.005708
169.5,0.0058015
169.6,0.0058641
169.7,0.0059072
169.8,0.0059358
169.9,0.0059545
170.0,0.0059661
170.1,0.0059655
170.2,0.0059357
170.3,0.0058376
170.4,0.0057261
170.5,0.0056074
170.6,0.0055186
170.7,0.0054682
170.8,0.00544
170.9,0.0054189
171.0,0.0053987
171.1,0.00538
171.2,0.0053503
171.3,0.0053139
171.4,0.0053075
171.5,0.0053606
171.6,0.0054768
171.7,0.0056035
171.8,0.0057272
171.9,0.0058179
172.0,0.0058974
172.1,0.0059682
172.2,0.0060133
172.3,0.0060095
172.4,0.0059376
172.5,0.0058431
172.6,0.0057521
172.7,0.0056641
172.8,0.0055764
172.9,0.0055032
173.0,0.0054597
173.1,0.0054428
173.2,0.005435
173.3,0.0054249
173.4,0.0054045
173.5,0.0053686
173.6,0.0053344
173.7,0.0053252
