Time(S),Current(A)
17.5,0.0056983
17.6,0.0057717
17.7,0.005855
17.8,0.0059217
17.9,0.0059754
18.0,0.0060232
18.1,0.0060648
18.2,0.0060918
18.3,0.0060925
18.4,0.006045
18.5,0.005969
18.6,0.0058988
18.7,0.0058432
18.8,0.0058019
18.9,0.0057822
19.0,0.0057644
19.1,0.0057314
19.2,0.0057185
19.3,0.0057131
19.4,0.0057122
19.5,0.0057111
19.6,0.0057121
19.7,0.0057104
19.8,0.0057085
19.9,0.0057113
20.0,0.0057002
20.1,0.0057113
20.2,0.0057576
20.3,0.0058188
20.4,0.0058781
20.5,0.0059381
20.6,0.0059953
20.7,0.0060371
20.8,0.0060632
20.9,0.0060633
21.0,0.0060088
21.1,0.0059271
21.2,0.0058569
21.3,0.0058081
21.4,0.005767
21.5,0.0057356
21.6,0.0057235
21.7,0.0057204
21.8,0.0057236
21.9,0.0057262
22.0,0.0057269
22.1,0.0057258
22.2,0.0057177
22.3,0.0057117
22.4,0.0057078
22.5,0.005703
22.6,0.0057457
22.7,0.0058206
22.8,0.0058881
22.9,0.0059453
23.0,0.005984
23.1,0.0059978
23.2,0.0052333
