Time(S),Current(A)
102.9,0.0052417
103.0,0.0052848
103.1,0.0052714
103.2,0.0052517
103.3,0.0052262
103.4,0.0052018
103.5,0.0051776
103.6,0.0051481
103.7,0.0051348
103.8,0.0051919
103.9,0.0052841
104.0,0.0052776
104.1,0.0052466
104.2,0.0052371
104.3,0.0052566
104.4,0.0053236
104.5,0.0054015
104.6,0.0060791
104.7,0.0052268
104.8,0.0052912
104.9,0.0052787
105.0,0.0052587
105.1,0.0052416
105.2,0.0052209
105.3,0.0051993
105.4,0.005173
105.5,0.0051394
105.6,0.0051289
105.7,0.0052011
105.8,0.0052784
105.9,0.0052533
106.0,0.0052619
106.1,0.0053054
106.2,0.0053764
106.3,0.0063093
106.4,0.006189
106.5,0.0052607
106.6,0.0052731
106.7,0.0052486
106.8,0.0052251
106.9,0.0052099
107.0,0.0052024
107.1,0.0051931
107.2,0.005179
107.3,0.0051515
107.4,0.0051288
107.5,0.0051306
107.6,0.0051819
107.7,0.0052895
107.8,0.0053543
107.9,0.0053365
108.0,0.0053186
108.1,0.0053295
108.2,0.005407
108.3,0.0066182
