序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,28119.5,-3166.8,2026/01/23 18:09:27
2,0.11,28118.2,-3168.29,2026/01/23 18:09:27
3,0.22,28123.5,-3164.06,2026/01/23 18:09:28
4,0.33,28113.6,-3168.18,2026/01/23 18:09:28
5,0.43,28128,-3163.17,2026/01/23 18:09:28
6,0.54,28113.3,-3165.21,2026/01/23 18:09:28
7,0.65,28124.9,-3168.88,2026/01/23 18:09:28
8,0.76,28116.9,-3165.05,2026/01/23 18:09:28
9,0.87,28121.7,-3167.43,2026/01/23 18:09:28
10,0.98,28121.6,-3165.48,2026/01/23 18:09:28
11,1.09,28118.9,-3168.82,2026/01/23 18:09:28
12,1.2,28125.9,-3161.7,2026/01/23 18:09:28
13,1.31,28117.5,-3171.14,2026/01/23 18:09:29
14,1.42,28126.1,-3163.55,2026/01/23 18:09:29
15,1.53,28119.3,-3167.42,2026/01/23 18:09:29
16,1.64,28124.5,-3168.04,2026/01/23 18:09:29
17,1.75,28121.8,-3165.9,2026/01/23 18:09:29
18,1.86,28124.5,-3165.28,2026/01/23 18:09:29
19,1.96,28120.9,-3170.1,2026/01/23 18:09:29
20,2.07,28123.7,-3162.03,2026/01/23 18:09:29
21,2.18,28121.9,-3169.94,2026/01/23 18:09:29
22,2.29,28125.4,-3160.38,2026/01/23 18:09:30
23,2.4,28123,-3167.8,2026/01/23 18:09:30
24,2.51,28121.5,-3161.59,2026/01/23 18:09:30
25,2.62,28124.2,-3165.95,2026/01/23 18:09:30
26,2.73,28120.4,-3162.15,2026/01/23 18:09:30
27,2.84,28124,-3166.05,2026/01/23 18:09:30
28,2.95,28117.9,-3163.2,2026/01/23 18:09:30
29,3.06,28124.5,-3163.19,2026/01/23 18:09:30
30,3.17,28113.7,-3168.09,2026/01/23 18:09:30
31,3.27,28127.4,-3158.4,2026/01/23 18:09:31
32,3.38,28112.9,-3170.11,2026/01/23 18:09:31
33,3.49,28124.3,-3160.13,2026/01/23 18:09:31
34,3.6,28113.8,-3165.18,2026/01/23 18:09:31
35,3.71,28120.8,-3164.09,2026/01/23 18:09:31
36,3.82,28117.6,-3163.94,2026/01/23 18:09:31
37,3.93,28113.3,-3166.64,2026/01/23 18:09:31
38,4.04,28126,-3162.08,2026/01/23 18:09:31
39,4.14,28109,-3166.48,2026/01/23 18:09:31
40,4.25,28126,-3164.48,2026/01/23 18:09:32
41,4.36,28112.3,-3164.42,2026/01/23 18:09:32
42,4.47,28120.3,-3163.8,2026/01/23 18:09:32
43,4.58,28115.2,-3162.82,2026/01/23 18:09:32
44,4.69,28119.5,-3165.22,2026/01/23 18:09:32
45,4.8,28122.2,-3159.78,2026/01/23 18:09:32
46,4.91,28114.8,-3167.1,2026/01/23 18:09:32
47,5.01,28125.3,-3160.27,2026/01/23 18:09:32
48,5.12,28112.9,-3162.83,2026/01/23 18:09:32
49,5.23,28123.9,-3164.99,2026/01/23 18:09:33
50,5.34,28115.1,-3161.43,2026/01/23 18:09:33
51,5.45,28123,-3164.47,2026/01/23 18:09:33
52,5.56,28116.3,-3162.79,2026/01/23 18:09:33
53,5.67,28118.8,-3165.57,2026/01/23 18:09:33
54,5.78,28120.2,-3160.77,2026/01/23 18:09:33
55,5.89,28114.3,-3168.51,2026/01/23 18:09:33
56,6,28123,-3162.28,2026/01/23 18:09:33
57,6.1,28113.7,-3161.51,2026/01/23 18:09:33
58,6.21,28121.4,-3165.16,2026/01/23 18:09:34
59,6.32,28114.3,-3159.46,2026/01/23 18:09:34
60,6.43,28121.5,-3163.61,2026/01/23 18:09:34
61,6.54,28117,-3163.92,2026/01/23 18:09:34
62,6.65,28118.9,-3165.15,2026/01/23 18:09:34
63,6.76,28119.5,-3159.93,2026/01/23 18:09:34
64,6.87,28113.7,-3167.7,2026/01/23 18:09:34
65,6.98,28120.3,-3161.32,2026/01/23 18:09:34
66,7.09,28113.1,-3163.71,2026/01/23 18:09:34
67,7.19,28118.9,-3163.54,2026/01/23 18:09:34
68,7.3,28113,-3160.14,2026/01/23 18:09:35
69,7.41,28118.5,-3165.99,2026/01/23 18:09:35
70,7.52,28117.3,-3160.96,2026/01/23 18:09:35
71,7.63,28115.1,-3164.04,2026/01/23 18:09:35
72,7.74,28117.5,-3159.92,2026/01/23 18:09:35
73,7.85,28112.5,-3165.72,2026/01/23 18:09:35
74,7.95,28120.2,-3161.76,2026/01/23 18:09:35
75,8.06,28111.7,-3159.71,2026/01/23 18:09:35
76,8.17,28115.6,-3163.8,2026/01/23 18:09:35
77,8.28,28112.7,-3161.91,2026/01/23 18:09:36
78,8.39,28115.3,-3165.13,2026/01/23 18:09:36
79,8.5,28115,-3160.93,2026/01/23 18:09:36
