序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,21611.5,-1720.01,2026/01/23 17:14:58
2,0.11,21617,-1715.58,2026/01/23 17:14:58
3,0.22,21612,-1721.82,2026/01/23 17:14:58
4,0.33,21613.7,-1717.22,2026/01/23 17:14:58
5,0.43,21613.9,-1717.95,2026/01/23 17:14:58
6,0.54,21610.6,-1719.36,2026/01/23 17:14:58
7,0.65,21613.3,-1717.3,2026/01/23 17:14:58
8,0.76,21612.7,-1718.61,2026/01/23 17:14:58
9,0.87,21613.4,-1718.74,2026/01/23 17:14:58
10,0.98,21611.7,-1718.44,2026/01/23 17:14:59
11,1.08,21612.4,-1719.23,2026/01/23 17:14:59
12,1.19,21611.8,-1718.82,2026/01/23 17:14:59
13,1.3,21612.1,-1718.61,2026/01/23 17:14:59
14,1.41,21613.7,-1717.18,2026/01/23 17:14:59
15,1.52,21609.3,-1718.83,2026/01/23 17:14:59
16,1.63,21616.5,-1718.48,2026/01/23 17:14:59
17,1.74,21608.3,-1718.83,2026/01/23 17:14:59
18,1.85,21615.4,-1717.76,2026/01/23 17:14:59
19,1.96,21609.4,-1718.24,2026/01/23 17:15:00
20,2.06,21612.6,-1717.72,2026/01/23 17:15:00
21,2.17,21611.6,-1717.8,2026/01/23 17:15:00
22,2.28,21610.9,-1718.17,2026/01/23 17:15:00
23,2.39,21613.6,-1717.93,2026/01/23 17:15:00
24,2.5,21607,-1720.58,2026/01/23 17:15:00
25,2.61,21613.7,-1716.59,2026/01/23 17:15:00
26,2.72,21607.9,-1720.9,2026/01/23 17:15:00
27,2.83,21611.9,-1715.07,2026/01/23 17:15:00
28,2.94,21607.8,-1722.36,2026/01/23 17:15:01
29,3.05,21610.2,-1715.96,2026/01/23 17:15:01
30,3.16,21608.1,-1720.12,2026/01/23 17:15:01
31,3.27,21609.2,-1717.19,2026/01/23 17:15:01
32,3.37,21609.6,-1718.84,2026/01/23 17:15:01
33,3.48,21606.6,-1718.77,2026/01/23 17:15:01
34,3.59,21610,-1718.29,2026/01/23 17:15:01
35,3.7,21606.4,-1719.52,2026/01/23 17:15:01
36,3.81,21608.7,-1718.15,2026/01/23 17:15:01
37,3.92,21607.5,-1718.84,2026/01/23 17:15:02
38,4.03,21608.7,-1719.07,2026/01/23 17:15:02
39,4.14,21606.6,-1720.04,2026/01/23 17:15:02
40,4.25,21609.1,-1719.24,2026/01/23 17:15:02
41,4.36,21608.1,-1719.14,2026/01/23 17:15:02
42,4.46,21606.9,-1718.87,2026/01/23 17:15:02
43,4.57,21610.4,-1717.41,2026/01/23 17:15:02
44,4.68,21606.8,-1719.65,2026/01/23 17:15:02
45,4.79,21611.1,-1719.02,2026/01/23 17:15:02
46,4.9,21605.7,-1718.08,2026/01/23 17:15:02
47,5.01,21611.4,-1720.88,2026/01/23 17:15:03
48,5.12,21606.4,-1719.13,2026/01/23 17:15:03
49,5.23,21610.4,-1720.39,2026/01/23 17:15:03
50,5.34,21608.8,-1719.26,2026/01/23 17:15:03
51,5.44,21609,-1719.14,2026/01/23 17:15:03
52,5.55,21609.6,-1719.26,2026/01/23 17:15:03
53,5.66,21607,-1719.47,2026/01/23 17:15:03
54,5.77,21614.1,-1717.84,2026/01/23 17:15:03
55,5.88,21605.7,-1720.42,2026/01/23 17:15:03
56,5.99,21613.5,-1718.54,2026/01/23 17:15:04
57,6.1,21605.8,-1719.35,2026/01/23 17:15:04
58,6.21,21610.8,-1719.48,2026/01/23 17:15:04
59,6.31,21609.4,-1718.42,2026/01/23 17:15:04
60,6.42,21607,-1720.66,2026/01/23 17:15:04
61,6.53,21612.7,-1718.02,2026/01/23 17:15:04
62,6.64,21605,-1721.13,2026/01/23 17:15:04
63,6.75,21614.7,-1717.51,2026/01/23 17:15:04
64,6.86,21604.9,-1720.34,2026/01/23 17:15:04
65,6.97,21612.4,-1718.85,2026/01/23 17:15:05
66,7.08,21607.5,-1720.11,2026/01/23 17:15:05
67,7.19,21611.2,-1719.2,2026/01/23 17:15:05
68,7.3,21609.9,-1719.81,2026/01/23 17:15:05
69,7.4,21607.4,-1719.69,2026/01/23 17:15:05
70,7.51,21612.3,-1718.52,2026/01/23 17:15:05
71,7.62,21605.4,-1721.63,2026/01/23 17:15:05
72,7.73,21612.3,-1716.77,2026/01/23 17:15:05
73,7.84,21605.5,-1720.9,2026/01/23 17:15:05
74,7.95,21610.5,-1718.99,2026/01/23 17:15:06
75,8.06,21608.6,-1720.54,2026/01/23 17:15:06
76,8.16,21608,-1719.36,2026/01/23 17:15:06
77,8.27,21609.4,-1719.62,2026/01/23 17:15:06
78,8.38,21605.1,-1718.76,2026/01/23 17:15:06
79,8.49,21610.8,-1717.6,2026/01/23 17:15:06
80,8.6,21603,-1721.87,2026/01/23 17:15:06
81,8.71,21612,-1716.82,2026/01/23 17:15:06
82,8.82,21603.8,-1720.92,2026/01/23 17:15:06
83,8.93,21610.1,-1717.83,2026/01/23 17:15:07
84,9.04,21605.7,-1719.89,2026/01/23 17:15:07
85,9.15,21608.9,-1717.78,2026/01/23 17:15:07
86,9.25,21606.4,-1719.82,2026/01/23 17:15:07
87,9.36,21605.9,-1719.39,2026/01/23 17:15:07
88,9.47,21608.8,-1718.8,2026/01/23 17:15:07
89,9.58,21602.6,-1721.51,2026/01/23 17:15:07
90,9.69,21610.5,-1717.66,2026/01/23 17:15:07
91,9.8,21602.3,-1720.8,2026/01/23 17:15:07
92,9.91,21608.1,-1718.97,2026/01/23 17:15:08
93,10.02,21603.2,-1719.82,2026/01/23 17:15:08
94,10.12,21605.3,-1719.82,2026/01/23 17:15:08
95,10.23,21604,-1719.58,2026/01/23 17:15:08
96,10.34,21600.6,-1721.33,2026/01/23 17:15:08
97,10.45,21608.2,-1717.5,2026/01/23 17:15:08
98,10.56,21597.7,-1721.25,2026/01/23 17:15:08
99,10.67,21607,-1718.04,2026/01/23 17:15:08
100,10.78,21597.9,-1719.68,2026/01/23 17:15:08
101,10.89,21604.6,-1719.81,2026/01/23 17:15:08
102,11,21598.5,-1719.89,2026/01/23 17:15:09
103,11.11,21601.5,-1719.79,2026/01/23 17:15:09
104,11.21,21601.4,-1717.97,2026/01/23 17:15:09
105,11.32,21597.8,-1720.75,2026/01/23 17:15:09
106,11.43,21603.5,-1719.07,2026/01/23 17:15:09
107,11.54,21596.1,-1720.04,2026/01/23 17:15:09
108,11.65,21601.7,-1720.49,2026/01/23 17:15:09
109,11.76,21596.4,-1719.52,2026/01/23 17:15:09
110,11.87,21599.7,-1719.16,2026/01/23 17:15:09
111,11.97,21597.7,-1719.97,2026/01/23 17:15:10
112,12.08,21597.1,-1721.16,2026/01/23 17:15:10
113,12.19,21599.5,-1718.02,2026/01/23 17:15:10
114,12.3,21595.2,-1721.14,2026/01/23 17:15:10
115,12.41,21598.9,-1719.81,2026/01/23 17:15:10
116,12.52,21596.2,-1719.7,2026/01/23 17:15:10
117,12.63,21597.7,-1718.92,2026/01/23 17:15:10
118,12.74,21597.2,-1720.17,2026/01/23 17:15:10
119,12.84,21595.3,-1722.3,2026/01/23 17:15:10
120,12.95,21599.1,-1719.45,2026/01/23 17:15:11
121,13.06,21594.9,-1721.76,2026/01/23 17:15:11
122,13.17,21598.3,-1719.23,2026/01/23 17:15:11
123,13.28,21595.9,-1722.92,2026/01/23 17:15:11
124,13.39,21597.9,-1716.46,2026/01/23 17:15:11
125,13.49,21595.6,-1721.79,2026/01/23 17:15:11
126,13.6,21597.2,-1719.01,2026/01/23 17:15:11
127,13.71,21597.9,-1719.75,2026/01/23 17:15:11
128,13.82,21593.8,-1718.55,2026/01/23 17:15:11
129,13.93,21597.6,-1717.7,2026/01/23 17:15:12
130,14.04,21591.5,-1722.38,2026/01/23 17:15:12
131,14.15,21598.4,-1716.53,2026/01/23 17:15:12
132,14.26,21590.4,-1722.33,2026/01/23 17:15:12
133,14.37,21596.4,-1719.89,2026/01/23 17:15:12
134,14.47,21594,-1720.37,2026/01/23 17:15:12
135,14.58,21595.2,-1719.66,2026/01/23 17:15:12
136,14.69,21595.8,-1719.21,2026/01/23 17:15:12
137,14.8,21592.8,-1721.37,2026/01/23 17:15:12
138,14.91,21597.6,-1718.64,2026/01/23 17:15:13
139,15.02,21591.3,-1721.24,2026/01/23 17:15:13
140,15.13,21598.3,-1721.31,2026/01/23 17:15:13
141,15.24,21592.7,-1719.65,2026/01/23 17:15:13
142,15.35,21596,-1720.04,2026/01/23 17:15:13
143,15.46,21592.9,-1720.41,2026/01/23 17:15:13
144,15.56,21595.5,-1720.31,2026/01/23 17:15:13
145,15.67,21594.4,-1720.51,2026/01/23 17:15:13
146,15.78,21592.6,-1721.41,2026/01/23 17:15:13
147,15.89,21596.3,-1718.5,2026/01/23 17:15:13
148,16,21590.6,-1721.03,2026/01/23 17:15:14
149,16.11,21594.5,-1719.62,2026/01/23 17:15:14
150,16.22,21593,-1722.81,2026/01/23 17:15:14
151,16.33,21594.2,-1717.42,2026/01/23 17:15:14
152,16.44,21590.8,-1723.15,2026/01/23 17:15:14
153,16.55,21594.7,-1717.84,2026/01/23 17:15:14
154,16.65,21590.5,-1722.64,2026/01/23 17:15:14
155,16.76,21593,-1719.15,2026/01/23 17:15:14
