序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,16785.3,-2104.78,2026/01/29 20:53:19
2,0.11,16784.3,-2106.61,2026/01/29 20:53:19
3,0.22,16786.1,-2104.89,2026/01/29 20:53:19
4,0.33,16783.8,-2104.62,2026/01/29 20:53:19
5,0.43,16784.8,-2106.05,2026/01/29 20:53:19
6,0.54,16783.6,-2105.7,2026/01/29 20:53:19
7,0.65,16783.3,-2104.61,2026/01/29 20:53:20
8,0.76,16784.5,-2105.89,2026/01/29 20:53:20
9,0.87,16781.8,-2104.86,2026/01/29 20:53:20
10,0.98,16784,-2105.52,2026/01/29 20:53:20
11,1.09,16780.1,-2106.38,2026/01/29 20:53:20
12,1.19,16785.1,-2103.56,2026/01/29 20:53:20
13,1.3,16777.9,-2107.2,2026/01/29 20:53:20
14,1.41,16784.6,-2105.2,2026/01/29 20:53:20
15,1.52,16778.7,-2104.56,2026/01/29 20:53:20
16,1.63,16783.3,-2106.56,2026/01/29 20:53:21
17,1.74,16780.7,-2104.73,2026/01/29 20:53:21
18,1.85,16780.9,-2105.8,2026/01/29 20:53:21
19,1.96,16781.2,-2105.17,2026/01/29 20:53:21
20,2.07,16779.4,-2105.55,2026/01/29 20:53:21
21,2.17,16780.4,-2105.18,2026/01/29 20:53:21
22,2.28,16779.1,-2107.22,2026/01/29 20:53:21
23,2.39,16781.4,-2102.93,2026/01/29 20:53:21
24,2.5,16779,-2106.41,2026/01/29 20:53:21
25,2.61,16780.2,-2104.46,2026/01/29 20:53:22
26,2.72,16779.4,-2105.88,2026/01/29 20:53:22
27,2.83,16779.5,-2104.61,2026/01/29 20:53:22
28,2.94,16779,-2105.57,2026/01/29 20:53:22
29,3.05,16777.7,-2106.42,2026/01/29 20:53:22
30,3.15,16780.5,-2104.54,2026/01/29 20:53:22
31,3.26,16776.8,-2105.26,2026/01/29 20:53:22
32,3.37,16780.5,-2106.85,2026/01/29 20:53:22
33,3.48,16778.7,-2104.35,2026/01/29 20:53:22
34,3.59,16779.7,-2104.74,2026/01/29 20:53:22
35,3.7,16778.7,-2106.46,2026/01/29 20:53:23
36,3.81,16777.6,-2105.44,2026/01/29 20:53:23
37,3.92,16780.3,-2105.79,2026/01/29 20:53:23
38,4.02,16777,-2106.31,2026/01/29 20:53:23
39,4.13,16781.4,-2102.7,2026/01/29 20:53:23
40,4.24,16775.3,-2107.57,2026/01/29 20:53:23
41,4.35,16781.8,-2104.15,2026/01/29 20:53:23
42,4.46,16776.2,-2105.33,2026/01/29 20:53:23
43,4.57,16780.5,-2104.98,2026/01/29 20:53:23
44,4.68,16779,-2104.12,2026/01/29 20:53:24
45,4.79,16777.2,-2105.79,2026/01/29 20:53:24
46,4.9,16780.5,-2103.19,2026/01/29 20:53:24
47,5,16776.9,-2105.64,2026/01/29 20:53:24
48,5.11,16778.4,-2105.5,2026/01/29 20:53:24
49,5.22,16778.2,-2106.2,2026/01/29 20:53:24
50,5.33,16778.3,-2103.5,2026/01/29 20:53:24
51,5.44,16776.2,-2107.81,2026/01/29 20:53:24
52,5.55,16778.9,-2104.03,2026/01/29 20:53:24
53,5.66,16777.7,-2105.1,2026/01/29 20:53:25
54,5.77,16777.4,-2105.01,2026/01/29 20:53:25
55,5.87,16779.2,-2104.74,2026/01/29 20:53:25
56,5.98,16775.4,-2105.89,2026/01/29 20:53:25
57,6.09,16781.1,-2104.64,2026/01/29 20:53:25
58,6.2,16774.9,-2104.39,2026/01/29 20:53:25
59,6.31,16779,-2105.69,2026/01/29 20:53:25
60,6.42,16776.9,-2104.54,2026/01/29 20:53:25
61,6.53,16775.7,-2105.53,2026/01/29 20:53:25
62,6.63,16778.6,-2104.01,2026/01/29 20:53:26
63,6.74,16775.4,-2105.1,2026/01/29 20:53:26
64,6.85,16778.1,-2104,2026/01/29 20:53:26
65,6.96,16775.7,-2106.9,2026/01/29 20:53:26
66,7.07,16777.7,-2103.4,2026/01/29 20:53:26
67,7.18,16774.6,-2107.18,2026/01/29 20:53:26
68,7.29,16777.4,-2103.88,2026/01/29 20:53:26
69,7.4,16775.7,-2104.69,2026/01/29 20:53:26
70,7.5,16781.5,-2102.73,2026/01/29 20:53:26
71,7.61,16782,-2102.14,2026/01/29 20:53:27
72,7.72,16780,-2103.93,2026/01/29 20:53:27
73,7.83,16783.3,-2102.37,2026/01/29 20:53:27
74,7.94,16775.9,-2103.61,2026/01/29 20:53:27
75,8.05,16778.4,-2106.09,2026/01/29 20:53:27
76,8.16,16775.3,-2104.82,2026/01/29 20:53:27
77,8.27,16776.4,-2104.78,2026/01/29 20:53:27
78,8.38,16776.2,-2105.83,2026/01/29 20:53:27
79,8.48,16774.2,-2104.74,2026/01/29 20:53:27
80,8.59,16776.8,-2105.8,2026/01/29 20:53:28
