序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,17865.2,-2483.99,2026/01/29 23:27:49
2,0.11,17861.6,-2486.72,2026/01/29 23:27:49
3,0.22,17866.9,-2485.85,2026/01/29 23:27:49
4,0.33,17862.7,-2485.14,2026/01/29 23:27:49
5,0.43,17864.3,-2485.85,2026/01/29 23:27:49
6,0.54,17864.7,-2485.24,2026/01/29 23:27:49
7,0.65,17862.4,-2485.81,2026/01/29 23:27:50
8,0.76,17866.5,-2485.59,2026/01/29 23:27:50
9,0.87,17862.4,-2485.81,2026/01/29 23:27:50
10,0.98,17866.7,-2484.97,2026/01/29 23:27:50
11,1.09,17861.4,-2487.3,2026/01/29 23:27:50
12,1.2,17868,-2484.31,2026/01/29 23:27:50
13,1.31,17860.8,-2487.06,2026/01/29 23:27:50
14,1.42,17867.6,-2484.74,2026/01/29 23:27:50
15,1.52,17862,-2486,2026/01/29 23:27:50
16,1.63,17866.3,-2485.01,2026/01/29 23:27:51
17,1.74,17863.8,-2485.65,2026/01/29 23:27:51
18,1.85,17865.4,-2486.33,2026/01/29 23:27:51
19,1.96,17865.9,-2484.1,2026/01/29 23:27:51
20,2.07,17862.5,-2486.77,2026/01/29 23:27:51
21,2.18,17867.3,-2483.91,2026/01/29 23:27:51
22,2.29,17863.4,-2485.17,2026/01/29 23:27:51
23,2.4,17866.1,-2483.7,2026/01/29 23:27:51
24,2.5,17863,-2487.88,2026/01/29 23:27:51
25,2.61,17867,-2484.16,2026/01/29 23:27:52
26,2.72,17862.4,-2487.08,2026/01/29 23:27:52
27,2.83,17866.4,-2484.49,2026/01/29 23:27:52
28,2.94,17863.4,-2486.54,2026/01/29 23:27:52
29,3.05,17866,-2484.77,2026/01/29 23:27:52
30,3.16,17864.2,-2486.07,2026/01/29 23:27:52
31,3.27,17865.4,-2485.91,2026/01/29 23:27:52
32,3.38,17866.6,-2483.56,2026/01/29 23:27:52
33,3.49,17863.8,-2487.45,2026/01/29 23:27:52
34,3.6,17868.2,-2484.52,2026/01/29 23:27:53
35,3.7,17863.8,-2485.48,2026/01/29 23:27:53
36,3.81,17866.8,-2484.96,2026/01/29 23:27:53
37,3.92,17865.9,-2485.75,2026/01/29 23:27:53
38,4.03,17864.6,-2484.83,2026/01/29 23:27:53
39,4.14,17867.7,-2485.55,2026/01/29 23:27:53
40,4.25,17863.5,-2484.98,2026/01/29 23:27:53
41,4.36,17867.7,-2486.68,2026/01/29 23:27:53
42,4.47,17863.6,-2486.25,2026/01/29 23:27:53
43,4.57,17869.4,-2484.33,2026/01/29 23:27:53
44,4.68,17864,-2487.21,2026/01/29 23:27:54
45,4.79,17868.9,-2484.97,2026/01/29 23:27:54
46,4.9,17864.2,-2486.37,2026/01/29 23:27:54
47,5.01,17868.9,-2485.56,2026/01/29 23:27:54
48,5.12,17865.1,-2485.52,2026/01/29 23:27:54
49,5.23,17867.4,-2485.55,2026/01/29 23:27:54
50,5.34,17866.6,-2484.05,2026/01/29 23:27:54
51,5.45,17865.8,-2487.76,2026/01/29 23:27:54
52,5.56,17869.1,-2484.17,2026/01/29 23:27:54
53,5.66,17865.2,-2485.93,2026/01/29 23:27:55
54,5.77,17867.9,-2485.39,2026/01/29 23:27:55
55,5.88,17866.2,-2486.01,2026/01/29 23:27:55
56,5.99,17868.5,-2484.37,2026/01/29 23:27:55
57,6.1,17866.7,-2486.59,2026/01/29 23:27:55
58,6.21,17867.3,-2483.99,2026/01/29 23:27:55
59,6.32,17867.8,-2486.19,2026/01/29 23:27:55
60,6.43,17866.6,-2485.25,2026/01/29 23:27:55
61,6.54,17869.2,-2486.89,2026/01/29 23:27:55
62,6.65,17866.7,-2484.69,2026/01/29 23:27:56
63,6.76,17869.9,-2484.41,2026/01/29 23:27:56
64,6.86,17865.7,-2486.71,2026/01/29 23:27:56
65,6.97,17872.5,-2483.91,2026/01/29 23:27:56
66,7.08,17866.1,-2485.62,2026/01/29 23:27:56
67,7.19,17871.3,-2485,2026/01/29 23:27:56
68,7.3,17868.3,-2485.68,2026/01/29 23:27:56
69,7.41,17870.4,-2486.06,2026/01/29 23:27:56
70,7.52,17869.3,-2484.62,2026/01/29 23:27:56
71,7.63,17868.8,-2488.04,2026/01/29 23:27:57
72,7.73,17870.9,-2483.82,2026/01/29 23:27:57
73,7.84,17867.3,-2486.81,2026/01/29 23:27:57
74,7.95,17871.4,-2484.8,2026/01/29 23:27:57
75,8.06,17868.9,-2485.83,2026/01/29 23:27:57
76,8.17,17871.4,-2485.72,2026/01/29 23:27:57
77,8.28,17869.3,-2486.89,2026/01/29 23:27:57
78,8.39,17872,-2484.55,2026/01/29 23:27:57
79,8.5,17871.4,-2485.94,2026/01/29 23:27:57
80,8.61,17871.5,-2484.67,2026/01/29 23:27:58
81,8.72,17872,-2486.31,2026/01/29 23:27:58
82,8.83,17870.6,-2484.95,2026/01/29 23:27:58
83,8.94,17874.3,-2486.34,2026/01/29 23:27:58
84,9.04,17869.7,-2485.67,2026/01/29 23:27:58
85,9.15,17874.8,-2484.21,2026/01/29 23:27:58
86,9.26,17869,-2487.07,2026/01/29 23:27:58
87,9.37,17875,-2483.55,2026/01/29 23:27:58
88,9.48,17870.3,-2486.65,2026/01/29 23:27:58
89,9.59,17875,-2484.72,2026/01/29 23:27:59
90,9.7,17871.5,-2486.01,2026/01/29 23:27:59
91,9.81,17874.9,-2485.46,2026/01/29 23:27:59
92,9.92,17872.8,-2485.72,2026/01/29 23:27:59
93,10.03,17873.1,-2487.26,2026/01/29 23:27:59
94,10.14,17875.2,-2483.8,2026/01/29 23:27:59
95,10.24,17871.5,-2486.79,2026/01/29 23:27:59
96,10.35,17876.8,-2484.57,2026/01/29 23:27:59
97,10.46,17872.6,-2485.96,2026/01/29 23:27:59
98,10.57,17875.8,-2486.01,2026/01/29 23:27:59
99,10.68,17874,-2484.99,2026/01/29 23:28:00
100,10.79,17875.2,-2486.46,2026/01/29 23:28:00
101,10.9,17877,-2483.29,2026/01/29 23:28:00
102,11,17873.4,-2486.77,2026/01/29 23:28:00
103,11.11,17876.6,-2485.56,2026/01/29 23:28:00
104,11.22,17874.6,-2485.91,2026/01/29 23:28:00
105,11.33,17877,-2484.95,2026/01/29 23:28:00
106,11.44,17875,-2486.67,2026/01/29 23:28:00
107,11.55,17875.2,-2485.29,2026/01/29 23:28:00
108,11.66,17876.9,-2485.95,2026/01/29 23:28:01
109,11.77,17874.2,-2485.1,2026/01/29 23:28:01
110,11.87,17878.8,-2486.07,2026/01/29 23:28:01
111,11.98,17874.3,-2486.17,2026/01/29 23:28:01
112,12.09,17878.4,-2485.34,2026/01/29 23:28:01
113,12.2,17874.7,-2488.14,2026/01/29 23:28:01
114,12.31,17878.7,-2483.82,2026/01/29 23:28:01
115,12.42,17875.7,-2487.38,2026/01/29 23:28:01
116,12.53,17877.5,-2484.02,2026/01/29 23:28:01
117,12.64,17879.1,-2486.04,2026/01/29 23:28:02
118,12.74,17879.1,-2483.56,2026/01/29 23:28:02
119,12.85,17869.6,-2486.64,2026/01/29 23:28:02
120,12.96,17819.4,-2499.16,2026/01/29 23:28:02
121,13.07,17782.6,-2504.15,2026/01/29 23:28:02
122,13.18,17812.9,-2499.6,2026/01/29 23:28:02
123,13.29,17866.5,-2487.42,2026/01/29 23:28:02
124,13.4,17879.9,-2484.73,2026/01/29 23:28:02
125,13.51,17884.1,-2483.41,2026/01/29 23:28:02
126,13.62,17876.9,-2485.67,2026/01/29 23:28:03
127,13.72,17823.3,-2497.33,2026/01/29 23:28:03
128,13.83,17763.7,-2506.93,2026/01/29 23:28:03
129,13.94,17784.9,-2505.17,2026/01/29 23:28:03
130,14.05,17862.1,-2487.6,2026/01/29 23:28:03
131,14.16,17862,-2488.62,2026/01/29 23:28:03
132,14.27,17865.7,-2488.66,2026/01/29 23:28:03
133,14.38,17799.9,-2501.07,2026/01/29 23:28:03
134,14.49,17769.4,-2508.08,2026/01/29 23:28:03
135,14.6,17769.6,-2506.38,2026/01/29 23:28:04
136,14.71,17770.1,-2508,2026/01/29 23:28:04
137,14.81,17807.2,-2497.82,2026/01/29 23:28:04
138,14.93,17857.8,-2491.46,2026/01/29 23:28:04
139,15.03,17870.2,-2485.27,2026/01/29 23:28:04
140,15.14,17869.9,-2488.94,2026/01/29 23:28:04
141,15.25,17875.3,-2485.53,2026/01/29 23:28:04
142,15.36,17870.6,-2487.57,2026/01/29 23:28:04
143,15.47,17875.5,-2487.82,2026/01/29 23:28:04
144,15.58,17863.9,-2488.54,2026/01/29 23:28:04
145,15.69,17869,-2489.02,2026/01/29 23:28:05
146,15.8,17834.8,-2493.23,2026/01/29 23:28:05
147,15.91,17765.5,-2508.23,2026/01/29 23:28:05
148,16.02,17795.3,-2501.48,2026/01/29 23:28:05
149,16.12,17861.6,-2490.98,2026/01/29 23:28:05
150,16.23,17869.5,-2486.25,2026/01/29 23:28:05
151,16.34,17865.4,-2489.22,2026/01/29 23:28:05
152,16.45,17870.5,-2487.76,2026/01/29 23:28:05
153,16.56,17867.5,-2488.07,2026/01/29 23:28:05
154,16.67,17827.4,-2495.06,2026/01/29 23:28:06
155,16.78,17770.2,-2506.96,2026/01/29 23:28:06
156,16.89,17785,-2504.29,2026/01/29 23:28:06
157,17,17865.4,-2487.05,2026/01/29 23:28:06
