序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,17026.2,-2479.8,2026/01/29 23:52:57
2,0.11,17027.7,-2478.7,2026/01/29 23:52:57
3,0.22,17028.6,-2480.05,2026/01/29 23:52:58
4,0.33,17029,-2480.68,2026/01/29 23:52:58
5,0.44,17032.1,-2477.85,2026/01/29 23:52:58
6,0.55,17028,-2480.58,2026/01/29 23:52:58
7,0.65,17033.4,-2479.18,2026/01/29 23:52:58
8,0.76,17028.7,-2479.5,2026/01/29 23:52:58
9,0.87,17032.1,-2480.42,2026/01/29 23:52:58
10,0.98,17032,-2479.66,2026/01/29 23:52:58
11,1.09,17030,-2481.31,2026/01/29 23:52:58
12,1.2,17034.7,-2480.07,2026/01/29 23:52:59
13,1.31,17028.1,-2479.84,2026/01/29 23:52:59
14,1.41,17028.1,-2480.03,2026/01/29 23:52:59
15,1.52,17023.8,-2482.77,2026/01/29 23:52:59
16,1.63,17029.3,-2478.4,2026/01/29 23:52:59
17,1.74,17024,-2482,2026/01/29 23:52:59
18,1.85,17028.9,-2480.04,2026/01/29 23:52:59
19,1.96,17026.9,-2481.26,2026/01/29 23:52:59
20,2.07,17031.7,-2480.23,2026/01/29 23:52:59
21,2.18,17031.4,-2479.38,2026/01/29 23:53:00
22,2.28,17030.1,-2481.9,2026/01/29 23:53:00
23,2.39,17036.3,-2479.78,2026/01/29 23:53:00
24,2.5,17030.6,-2479.71,2026/01/29 23:53:00
25,2.61,17033.6,-2480.87,2026/01/29 23:53:00
26,2.72,17030.8,-2480.01,2026/01/29 23:53:00
27,2.83,17030.5,-2481.25,2026/01/29 23:53:00
28,2.94,17036.6,-2480.03,2026/01/29 23:53:00
29,3.05,17033.6,-2481.1,2026/01/29 23:53:00
30,3.15,17039.5,-2480.32,2026/01/29 23:53:01
31,3.26,17033.4,-2482.37,2026/01/29 23:53:01
32,3.37,17037.3,-2478.98,2026/01/29 23:53:01
33,3.48,17033.7,-2482.74,2026/01/29 23:53:01
34,3.59,17038.8,-2479.78,2026/01/29 23:53:01
35,3.7,17037.5,-2482.04,2026/01/29 23:53:01
36,3.81,17040.9,-2480.63,2026/01/29 23:53:01
37,3.92,17038.1,-2480.66,2026/01/29 23:53:01
38,4.03,17036.2,-2482.26,2026/01/29 23:53:01
39,4.13,17037.8,-2479.72,2026/01/29 23:53:01
40,4.24,17031,-2482.6,2026/01/29 23:53:02
41,4.35,17037.1,-2483.4,2026/01/29 23:53:02
42,4.46,17028.8,-2484.37,2026/01/29 23:53:02
43,4.57,17032.3,-2484.84,2026/01/29 23:53:02
44,4.68,17033.6,-2485.7,2026/01/29 23:53:02
45,4.79,17035.5,-2484.27,2026/01/29 23:53:02
46,4.9,17036.2,-2485.35,2026/01/29 23:53:02
47,5.01,17035.5,-2484.46,2026/01/29 23:53:02
48,5.11,17040.1,-2485.82,2026/01/29 23:53:02
49,5.22,17035.8,-2484.64,2026/01/29 23:53:03
50,5.33,17041.3,-2483.72,2026/01/29 23:53:03
51,5.44,17035.9,-2486.64,2026/01/29 23:53:03
52,5.55,17042.9,-2483.53,2026/01/29 23:53:03
53,5.66,17038.1,-2486.04,2026/01/29 23:53:03
54,5.77,17043.9,-2485.36,2026/01/29 23:53:03
55,5.88,17040.8,-2485.08,2026/01/29 23:53:03
56,5.99,17043.8,-2485.74,2026/01/29 23:53:03
57,6.09,17044,-2484.13,2026/01/29 23:53:03
58,6.2,17041.7,-2486.49,2026/01/29 23:53:04
59,6.31,17046.1,-2484.86,2026/01/29 23:53:04
60,6.42,17043.7,-2485.36,2026/01/29 23:53:04
61,6.53,17047.5,-2484.96,2026/01/29 23:53:04
62,6.64,17045.7,-2486.76,2026/01/29 23:53:04
63,6.75,17046.7,-2484.44,2026/01/29 23:53:04
64,6.85,17050.2,-2486.57,2026/01/29 23:53:04
65,6.96,17046.9,-2484.98,2026/01/29 23:53:04
66,7.07,17061.4,-2486.01,2026/01/29 23:53:04
67,7.18,17061.7,-2487.82,2026/01/29 23:53:05
68,7.29,17068.6,-2485.12,2026/01/29 23:53:05
69,7.4,17065.5,-2488.38,2026/01/29 23:53:05
70,7.51,17072.6,-2486.27,2026/01/29 23:53:05
71,7.62,17069.1,-2487.69,2026/01/29 23:53:05
72,7.73,17075,-2487.49,2026/01/29 23:53:05
73,7.83,17074.1,-2487.28,2026/01/29 23:53:05
74,7.94,17076.4,-2489,2026/01/29 23:53:05
75,8.05,17081,-2485.78,2026/01/29 23:53:05
