序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,18395.7,-412.743,2026/01/23 15:47:32
2,0.15,18401.2,-420.01,2026/01/23 15:47:32
3,0.26,18392.9,-415.218,2026/01/23 15:47:32
4,0.37,18402.4,-418.451,2026/01/23 15:47:32
5,0.48,18395.2,-416.407,2026/01/23 15:47:32
6,0.59,18404.5,-417.149,2026/01/23 15:47:32
7,0.7,18403.9,-422.688,2026/01/23 15:47:32
8,0.81,18402.5,-416.682,2026/01/23 15:47:32
9,0.92,18408.3,-420.72,2026/01/23 15:47:32
10,1.03,18401.2,-416.259,2026/01/23 15:47:33
11,1.14,18413,-419.903,2026/01/23 15:47:33
12,1.24,18402,-419.048,2026/01/23 15:47:33
13,1.35,18415.6,-416.545,2026/01/23 15:47:33
14,1.46,18403.4,-419.335,2026/01/23 15:47:33
15,1.57,18412.6,-420.264,2026/01/23 15:47:33
16,1.68,18410.8,-418.841,2026/01/23 15:47:33
17,1.79,18407.5,-420.794,2026/01/23 15:47:33
18,1.9,18413.4,-415.949,2026/01/23 15:47:33
19,2.01,19870.5,-641.715,2026/01/23 15:47:34
20,2.12,23736.1,-435.488,2026/01/23 15:47:34
21,2.22,23841.7,-393.349,2026/01/23 15:47:34
22,2.33,23843.6,-377.472,2026/01/23 15:47:34
23,2.44,23822.6,-396.63,2026/01/23 15:47:34
24,2.55,23844.1,-381.104,2026/01/23 15:47:34
25,2.66,23829.1,-389.721,2026/01/23 15:47:34
26,2.77,23846,-391.91,2026/01/23 15:47:34
27,2.88,23825.4,-386.129,2026/01/23 15:47:34
28,2.99,23848.9,-396.394,2026/01/23 15:47:35
29,3.1,23839.7,-381.604,2026/01/23 15:47:35
30,3.21,22052.4,-119.552,2026/01/23 15:47:35
31,3.32,18868.9,-384.054,2026/01/23 15:47:35
32,3.42,18710.3,-418.923,2026/01/23 15:47:35
33,3.53,18660.2,-410.463,2026/01/23 15:47:35
34,3.64,18621.9,-422.331,2026/01/23 15:47:35
35,3.75,18601.6,-411.456,2026/01/23 15:47:35
36,3.86,18569.2,-420.45,2026/01/23 15:47:35
37,3.97,18565.8,-414.316,2026/01/23 15:47:36
38,4.08,18536.7,-418.396,2026/01/23 15:47:36
39,4.19,18537.7,-419.938,2026/01/23 15:47:36
40,4.29,18518.9,-416.264,2026/01/23 15:47:36
41,4.4,18637.5,-455.767,2026/01/23 15:47:36
42,4.51,22674.8,-556.928,2026/01/23 15:47:36
43,4.62,23843.5,-395.937,2026/01/23 15:47:36
44,4.73,23848.2,-368.81,2026/01/23 15:47:36
45,4.84,23830.5,-399.06,2026/01/23 15:47:36
46,4.95,23842,-378.246,2026/01/23 15:47:36
47,5.06,23836.5,-399.968,2026/01/23 15:47:37
48,5.17,23832.9,-380.102,2026/01/23 15:47:37
49,5.28,23841,-392.081,2026/01/23 15:47:37
50,5.38,23827.3,-378.784,2026/01/23 15:47:37
51,5.49,23846.2,-391.622,2026/01/23 15:47:37
52,5.6,23627.5,-304.458,2026/01/23 15:47:37
53,5.71,19422.3,-283.856,2026/01/23 15:47:37
54,5.82,18765.1,-417.856,2026/01/23 15:47:37
55,5.93,18698.5,-414.694,2026/01/23 15:47:37
56,6.04,18662.8,-419.456,2026/01/23 15:47:38
57,6.15,18623,-420.624,2026/01/23 15:47:38
58,6.26,18603.9,-416.699,2026/01/23 15:47:38
59,6.37,18574.5,-421.398,2026/01/23 15:47:38
60,6.47,18571.6,-415.638,2026/01/23 15:47:38
61,6.58,18543.9,-423.355,2026/01/23 15:47:38
62,6.69,18541.5,-416.308,2026/01/23 15:47:38
63,6.8,18524.8,-421.372,2026/01/23 15:47:38
64,6.91,20624.6,-653.271,2026/01/23 15:47:38
65,7.02,23808.1,-403.514,2026/01/23 15:47:39
66,7.13,23826.7,-399.605,2026/01/23 15:47:39
67,7.24,23813.7,-377.963,2026/01/23 15:47:39
68,7.34,23820.1,-397.341,2026/01/23 15:47:39
69,7.46,23818.5,-377.841,2026/01/23 15:47:39
70,7.56,23807.2,-392.479,2026/01/23 15:47:39
71,7.67,23815.9,-371.247,2026/01/23 15:47:39
72,7.78,23798.1,-395.123,2026/01/23 15:47:39
73,7.89,23817.4,-387.735,2026/01/23 15:47:39
74,8,23807.1,-391.739,2026/01/23 15:47:40
75,8.11,21296.7,-95.3672,2026/01/23 15:47:40
76,8.22,18834.7,-402.906,2026/01/23 15:47:40
77,8.33,18738.4,-414.56,2026/01/23 15:47:40
78,8.43,18686.7,-417.644,2026/01/23 15:47:40
79,8.54,18651.6,-417.913,2026/01/23 15:47:40
80,8.65,18630.7,-415.046,2026/01/23 15:47:40
81,8.76,18600.2,-427.314,2026/01/23 15:47:40
82,8.87,18592.3,-414.74,2026/01/23 15:47:40
83,8.98,18572.2,-426.599,2026/01/23 15:47:41
