序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,1564.83,-148.178,2026/01/28 16:15:51
2,0.11,1564.88,-148.194,2026/01/28 16:15:51
3,0.22,1564.96,-148.256,2026/01/28 16:15:51
4,0.32,1564.95,-148.167,2026/01/28 16:15:51
5,0.43,1565.03,-148.237,2026/01/28 16:15:51
6,0.54,1564.97,-148.165,2026/01/28 16:15:52
7,0.65,1564.89,-148.25,2026/01/28 16:15:52
8,0.76,1564.99,-148.178,2026/01/28 16:15:52
9,0.87,1564.86,-148.253,2026/01/28 16:15:52
10,0.98,1564.95,-148.153,2026/01/28 16:15:52
11,1.09,1564.94,-148.261,2026/01/28 16:15:52
12,1.19,1564.9,-148.197,2026/01/28 16:15:52
13,1.3,1565,-148.225,2026/01/28 16:15:52
14,1.41,1564.81,-148.266,2026/01/28 16:15:52
15,1.52,1564.93,-148.182,2026/01/28 16:15:53
16,1.63,1564.94,-148.267,2026/01/28 16:15:53
17,1.74,1565.12,-148.226,2026/01/28 16:15:53
18,1.85,1565.15,-148.253,2026/01/28 16:15:53
19,1.96,1565.32,-148.217,2026/01/28 16:15:53
20,2.07,1565.21,-148.277,2026/01/28 16:15:53
21,2.18,1565.23,-148.223,2026/01/28 16:15:53
22,2.28,1565.23,-148.292,2026/01/28 16:15:53
23,2.39,1565.22,-148.244,2026/01/28 16:15:53
24,2.5,1565.39,-148.269,2026/01/28 16:15:54
25,2.61,1565.4,-148.267,2026/01/28 16:15:54
26,2.72,1565.48,-148.273,2026/01/28 16:15:54
27,2.83,1565.52,-148.241,2026/01/28 16:15:54
28,2.94,1565.46,-148.329,2026/01/28 16:15:54
29,3.05,1565.38,-148.246,2026/01/28 16:15:54
30,3.16,1565.36,-148.314,2026/01/28 16:15:54
31,3.26,1565.29,-148.271,2026/01/28 16:15:54
32,3.37,1565.31,-148.311,2026/01/28 16:15:54
33,3.48,1565.44,-148.268,2026/01/28 16:15:55
34,3.59,1565.54,-148.321,2026/01/28 16:15:55
35,3.7,1565.78,-148.261,2026/01/28 16:15:55
36,3.81,1566,-148.363,2026/01/28 16:15:55
37,3.92,1566.25,-148.289,2026/01/28 16:15:55
38,4.03,1566.68,-148.344,2026/01/28 16:15:55
39,4.14,1566.98,-148.357,2026/01/28 16:15:55
40,4.25,1567.53,-148.295,2026/01/28 16:15:55
41,4.36,1567.88,-148.417,2026/01/28 16:15:55
42,4.46,1568.22,-148.286,2026/01/28 16:15:56
